instance_id,mode,seed,sol_id,att_default,sumo_seed,att
A_k4_3od_x1.0,init,7,S0024,236.482,205,235.42
A_k4_3od_x1.0,init,8,S0023,234.275,201,249.872
A_k4_3od_x1.0,init,8,S0023,234.275,202,234.956
A_k4_3od_x1.0,init,8,S0023,234.275,203,240.172
A_k4_3od_x1.0,init,8,S0023,234.275,204,249.856
A_k4_3od_x1.0,init,8,S0023,234.275,205,231.254
A_k4_3od_x1.0,init,9,S0011,242.387,201,259.103
A_k4_3od_x1.0,init,9,S0011,242.387,202,259.39
A_k4_3od_x1.0,init,9,S0011,242.387,203,260.293
A_k4_3od_x1.0,init,9,S0011,242.387,204,255.865
A_k4_3od_x1.0,init,9,S0011,242.387,205,254.715
A_k4_3od_x1.0,mutation,0,S0013,233.371,201,266.406
A_k4_3od_x1.0,mutation,0,S0013,233.371,202,241.886
A_k4_3od_x1.0,mutation,0,S0013,233.371,203,248.329
A_k4_3od_x1.0,mutation,0,S0013,233.371,204,245.482
A_k4_3od_x1.0,mutation,0,S0013,233.371,205,235.719
A_k4_3od_x1.0,mutation,1,S0009,230.928,201,241.792
A_k4_3od_x1.0,mutation,1,S0009,230.928,202,224.738
A_k4_3od_x1.0,mutation,1,S0009,230.928,203,238.255
A_k4_3od_x1.0,mutation,1,S0009,230.928,204,243.019
A_k4_3od_x1.0,mutation,1,S0009,230.928,205,234.084
A_k4_3od_x1.0,mutation,2,S0009,230.928,201,241.792
A_k4_3od_x1.0,mutation,2,S0009,230.928,202,224.738
A_k4_3od_x1.0,mutation,2,S0009,230.928,203,238.255
A_k4_3od_x1.0,mutation,2,S0009,230.928,204,243.019
A_k4_3od_x1.0,mutation,2,S0009,230.928,205,234.084
A_k4_3od_x1.0,mutation,3,S0016,224.053,201,232.232
A_k4_3od_x1.0,mutation,3,S0016,224.053,202,228.66
A_k4_3od_x1.0,mutation,3,S0016,224.053,203,247.158
A_k4_3od_x1.0,mutation,3,S0016,224.053,204,231.113
A_k4_3od_x1.0,mutation,3,S0016,224.053,205,231.291
A_k4_3od_x1.0,mutation,4,S0015,240.346,201,255.101
A_k4_3od_x1.0,mutation,4,S0015,240.346,202,245.8
A_k4_3od_x1.0,mutation,4,S0015,240.346,203,240.187
A_k4_3od_x1.0,mutation,4,S0015,240.346,204,260.248
A_k4_3od_x1.0,mutation,4,S0015,240.346,205,244.853
A_k4_3od_x1.0,mutation,5,S0018,231.718,201,241.845
A_k4_3od_x1.0,mutation,5,S0018,231.718,202,247.319
A_k4_3od_x1.0,mutation,5,S0018,231.718,203,262.568
A_k4_3od_x1.0,mutation,5,S0018,231.718,204,262.242
A_k4_3od_x1.0,mutation,5,S0018,231.718,205,246.333
A_k4_3od_x1.0,mutation,6,S0010,236.189,201,256.114
A_k4_3od_x1.0,mutation,6,S0010,236.189,202,253.388
A_k4_3od_x1.0,mutation,6,S0010,236.189,203,242.797
A_k4_3od_x1.0,mutation,6,S0010,236.189,204,237.863
A_k4_3od_x1.0,mutation,6,S0010,236.189,205,247.84
A_k4_3od_x1.0,mutation,7,S0019,242.95,201,262.054
A_k4_3od_x1.0,mutation,7,S0019,242.95,202,244.021
A_k4_3od_x1.0,mutation,7,S0019,242.95,203,253.347
A_k4_3od_x1.0,mutation,7,S0019,242.95,204,245.176
A_k4_3od_x1.0,mutation,7,S0019,242.95,205,265.999
A_k4_3od_x1.0,mutation,8,S0002,242.966,201,253.797
A_k4_3od_x1.0,mutation,8,S0002,242.966,202,247.564
A_k4_3od_x1.0,mutation,8,S0002,242.966,203,254.483
A_k4_3od_x1.0,mutation,8,S0002,242.966,204,257.178
A_k4_3od_x1.0,mutation,8,S0002,242.966,205,259.508
A_k4_3od_x1.0,mutation,9,S0014,229.631,201,236.305
A_k4_3od_x1.0,mutation,9,S0014,229.631,202,239.005
A_k4_3od_x1.0,mutation,9,S0014,229.631,203,243.815
A_k4_3od_x1.0,mutation,9,S0014,229.631,204,241.52
A_k4_3od_x1.0,mutation,9,S0014,229.631,205,240.271
A_k4_3od_x1.0,none,0,S0000,241.621,201,252.549
A_k4_3od_x1.0,none,0,S0000,241.621,202,270.747
A_k4_3od_x1.0,none,0,S0000,241.621,203,267.453
A_k4_3od_x1.0,none,0,S0000,241.621,204,300.382
A_k4_3od_x1.0,none,0,S0000,241.621,205,263.463
A_k4_3od_x1.0,none,1,S0004,239.198,201,258.375
A_k4_3od_x1.0,none,1,S0004,239.198,202,245.673
A_k4_3od_x1.0,none,1,S0004,239.198,203,244.232
A_k4_3od_x1.0,none,1,S0004,239.198,204,258.712
A_k4_3od_x1.0,none,1,S0004,239.198,205,246.35
A_k4_3od_x1.0,none,2,S0017,237.158,201,265.967
A_k4_3od_x1.0,none,2,S0017,237.158,202,260.052
A_k4_3od_x1.0,none,2,S0017,237.158,203,265.127
A_k4_3od_x1.0,none,2,S0017,237.158,204,261.843
A_k4_3od_x1.0,none,2,S0017,237.158,205,262.064
A_k4_3od_x1.0,none,3,S0014,229.631,201,236.305
A_k4_3od_x1.0,none,3,S0014,229.631,202,239.005
A_k4_3od_x1.0,none,3,S0014,229.631,203,243.815
A_k4_3od_x1.0,none,3,S0014,229.631,204,241.52
A_k4_3od_x1.0,none,3,S0014,229.631,205,240.271
A_k4_3od_x1.0,none,4,S0025,231.076,201,227.124
A_k4_3od_x1.0,none,4,S0025,231.076,202,237.833
A_k4_3od_x1.0,none,4,S0025,231.076,203,238.949
A_k4_3od_x1.0,none,4,S0025,231.076,204,251.048
A_k4_3od_x1.0,none,4,S0025,231.076,205,229.46
A_k4_3od_x1.0,none,5,S0026,240.305,201,250.593
A_k4_3od_x1.0,none,5,S0026,240.305,202,249.367
A_k4_3od_x1.0,none,5,S0026,240.305,203,244.986
A_k4_3od_x1.0,none,5,S0026,240.305,204,241.935
A_k4_3od_x1.0,none,5,S0026,240.305,205,232.882
A_k4_3od_x1.0,none,6,S0028,238.339,201,251.289
A_k4_3od_x1.0,none,6,S0028,238.339,202,262.39
A_k4_3od_x1.0,none,6,S0028,238.339,203,255.09
A_k4_3od_x1.0,none,6,S0028,238.339,204,255.757
A_k4_3od_x1.0,none,6,S0028,238.339,205,239.547
A_k4_3od_x1.0,none,7,S0027,245.028,201,257.071
A_k4_3od_x1.0,none,7,S0027,245.028,202,258.732
A_k4_3od_x1.0,none,7,S0027,245.028,203,276.93
A_k4_3od_x1.0,none,7,S0027,245.028,204,243.643
A_k4_3od_x1.0,none,7,S0027,245.028,205,249.122
A_k4_3od_x1.0,none,8,S0014,229.631,201,236.305
A_k4_3od_x1.0,none,8,S0014,229.631,202,239.005
A_k4_3od_x1.0,none,8,S0014,229.631,203,243.815
A_k4_3od_x1.0,none,8,S0014,229.631,204,241.52
A_k4_3od_x1.0,none,8,S0014,229.631,205,240.271
A_k4_3od_x1.0,none,9,S0013,233.371,201,266.406
A_k4_3od_x1.0,none,9,S0013,233.371,202,241.886
A_k4_3od_x1.0,none,9,S0013,233.371,203,248.329
A_k4_3od_x1.0,none,9,S0013,233.371,204,245.482
A_k4_3od_x1.0,none,9,S0013,233.371,205,235.719
A_k4_3od_x1.2,both,0,S0022,299.43416666666667,201,313.51666666666665
A_k4_3od_x1.2,both,0,S0022,299.43416666666667,202,311.86833333333334
A_k4_3od_x1.2,both,0,S0022,299.43416666666667,203,339.30083333333334
A_k4_3od_x1.2,both,0,S0022,299.43416666666667,204,314.19666666666666
A_k4_3od_x1.2,both,0,S0022,299.43416666666667,205,288.9583333333333
A_k4_3od_x1.2,both,1,S0025,297.1525,201,333.30583333333334
A_k4_3od_x1.2,both,1,S0025,297.1525,202,320.9725
A_k4_3od_x1.2,both,1,S0025,297.1525,203,309.81083333333333
A_k4_3od_x1.2,both,1,S0025,297.1525,204,290.61083333333335
A_k4_3od_x1.2,both,1,S0025,297.1525,205,340.3525
A_k4_3od_x1.2,both,2,S0011,290.00416666666666,201,310.17333333333335
A_k4_3od_x1.2,both,2,S0011,290.00416666666666,202,307.87166666666667
A_k4_3od_x1.2,both,2,S0011,290.00416666666666,203,293.6066666666667
A_k4_3od_x1.2,both,2,S0011,290.00416666666666,204,308.8775
A_k4_3od_x1.2,both,2,S0011,290.00416666666666,205,305.28333333333336
A_k4_3od_x1.2,both,3,S0027,319.53583333333336,201,375.74833333333333
A_k4_3od_x1.2,both,3,S0027,319.53583333333336,202,339.89166666666665
A_k4_3od_x1.2,both,3,S0027,319.53583333333336,203,321.7366666666667
A_k4_3od_x1.2,both,3,S0027,319.53583333333336,204,341.7708333333333
A_k4_3od_x1.2,both,3,S0027,319.53583333333336,205,338.39166666666665
A_k4_3od_x1.2,both,4,S0014,305.1666666666667,201,315.3958333333333
A_k4_3od_x1.2,both,4,S0014,305.1666666666667,202,340.94083333333333
A_k4_3od_x1.2,both,4,S0014,305.1666666666667,203,322.29083333333335
A_k4_3od_x1.2,both,4,S0014,305.1666666666667,204,354.04833333333335
A_k4_3od_x1.2,both,4,S0014,305.1666666666667,205,310.23
