instance_id,source_file,source_path,mode,n_seeds,mean_ATT,sd_ATT,median_ATT,IQR_ATT,mean_ATT_95CI_low,mean_ATT_95CI_high,mean_reduction_vs_none_%
B_k9_2od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\att_summary_by_mode.csv,both,10,743.8192999999999,7.565160089368761,745.646,5.352124999999887,739.1037962500001,747.9606662499999,-0.2080225770711399
B_k9_2od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\att_summary_by_mode.csv,init,10,741.2505500000001,6.712787132075287,740.9685,11.598375000000033,737.2804662500001,745.2327887499999,0.1380417936635681
B_k9_2od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\att_summary_by_mode.csv,mutation,10,743.6904999999999,4.609666865524135,743.85825,5.020250000000033,741.1915575,746.3312750000001,-0.1906705221998528
B_k9_2od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\att_summary_by_mode.csv,none,10,742.2751999999999,7.730159331403758,741.6255,10.067999999999984,737.33606375,746.5367375000001,0.0
B_k9_2od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\att_summary_by_mode.csv,both,10,782.52875,3.1533946104863846,782.2629166666667,3.455416666666679,780.7389989583334,784.2709260416667,-0.0465268510111593
B_k9_2od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\att_summary_by_mode.csv,init,10,782.2294166666667,3.700307358146474,782.1333333333333,4.483854166666674,780.0075333333334,784.2286072916667,-0.008256997832309
B_k9_2od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\att_summary_by_mode.csv,mutation,10,782.0652083333333,5.982906261356265,783.7464583333333,6.699062499999968,778.4773343749999,785.3003416666667,0.0127370850432353
B_k9_2od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\att_summary_by_mode.csv,none,10,782.1648333333333,4.781723105375433,781.9385416666667,7.430624999999964,779.5115552083333,785.0276718749999,0.0
B_k9_3od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\att_summary_by_mode.csv,both,10,368.475375,5.792323090798241,367.2103125,1.982500000000016,365.2998765625,371.8890890625,0.3389816755833946
B_k9_3od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\att_summary_by_mode.csv,init,10,368.0294375,5.718507777581223,367.095,6.998125000000016,364.746471875,371.333615625,0.4595937663073565
B_k9_3od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\att_summary_by_mode.csv,mutation,10,367.694,4.846015171065235,366.04875,7.172343749999982,364.84314375,370.54126875,0.5503190768771542
B_k9_3od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\att_summary_by_mode.csv,none,10,369.7286875,4.218863408455106,369.0265625,3.689218750000066,367.38809375,372.1886109375001,0.0
B_k9_3od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\att_summary_by_mode.csv,both,10,472.98455,6.083965247773125,471.379,4.940999999999974,469.4628687499999,476.44123,1.6185115496984304
B_k9_3od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\att_summary_by_mode.csv,init,10,476.2871999999999,6.530582555263428,476.39125,4.958874999999978,472.27542125,479.84725625,0.9315554475796916
B_k9_3od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\att_summary_by_mode.csv,mutation,10,475.5490000000001,4.434731834558269,476.56225,7.945250000000044,472.8748662500001,478.11642375,1.085102143288878
B_k9_3od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\att_summary_by_mode.csv,none,10,480.7658,4.194358673000897,479.80975,5.803999999999974,478.21105875,483.19207125,0.0
B_k9_3od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\att_summary_by_mode.csv,both,10,567.8459583333333,3.6446086570071374,567.875,4.1484375,565.836478125,569.874890625,0.2074595974777186
B_k9_3od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\att_summary_by_mode.csv,init,10,570.2708749999999,4.988689570265144,568.2802083333333,6.518333333333317,567.6210822916665,573.3229479166666,-0.2186922327498483
B_k9_3od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\att_summary_by_mode.csv,mutation,10,572.15275,2.0653698533610854,572.3747916666666,1.1372916666666697,570.7618385416666,573.1543020833334,-0.5494105978522391
B_k9_3od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\att_summary_by_mode.csv,none,10,569.0264583333334,4.49318784044487,568.8897916666667,7.665729166666665,566.5156250000001,571.6004479166667,0.0
C_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,both,10,443.760875,4.885758474183468,444.6196875,9.64156250000002,440.88425,446.7075265625,0.4859251302481313
C_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,init,10,445.6555,3.960070417092776,447.1425,2.476718749999975,443.2260671875,447.6607953125,0.0610524911266549
C_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,mutation,10,446.037375,5.264671718028692,448.62625,8.202656250000018,442.7345,448.9089875000001,-0.0245835788420868
C_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,none,10,445.92775,4.776653420471868,447.955625,5.743437500000027,443.0573453125,448.5160828125,0.0
C_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,both,10,453.12215,2.243370245486311,452.407,2.361499999999978,451.86143875,454.48325875,0.2289931030139706
C_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,init,10,453.5308999999999,4.353254592192422,455.0125,4.344875000000002,450.6281000000001,455.75045,0.1389922079592233
C_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,mutation,10,452.8293500000001,2.3312188639565057,453.28475,3.964375000000018,451.40096375,454.0768900000001,0.293463468939432
C_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,none,10,454.16215,2.920075427583632,453.741,4.376125000000002,452.48104250000006,455.87120375,0.0
C_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,both,10,449.68641666666673,3.561607036667859,450.63958333333335,5.177916666666647,447.50152708333326,451.73359375,1.5067383516208233
C_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,init,10,454.915,5.518325971504209,456.89875,6.935833333333335,451.39671041666674,457.9422958333335,0.3615398150101934
C_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,mutation,10,448.1585416666667,3.8222178630163257,447.9114583333333,4.047708333333276,445.9874208333333,450.3289145833333,1.8413835322702767
C_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,none,10,456.5656666666667,4.26394733582816,457.07729166666667,4.110729166666658,453.9976052083333,459.0214822916666,0.0
C_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,both,10,797.91075,2.110053312748016,798.1268749999999,2.972812499999918,796.7121359375001,799.1690656250001,-0.2187899692441104
C_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,init,10,797.304625,4.850616783161003,797.7253125,6.704062499999964,794.4283312500002,800.1732828125,-0.1426597578512822
C_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,mutation,10,798.0008750000001,3.75764110633624,798.410625,2.368437500000028,795.6411765625,800.184609375,-0.2301098047595284
C_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,none,10,796.1688125000001,3.900861176843752,796.1171875,4.998906249999891,793.9445999999999,798.3815999999999,0.0
C_k9_2od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\att_summary_by_mode.csv,both,10,810.5063,2.568702560524352,811.45,3.0564999999999145,808.9887125,811.9369224999998,0.1513917346444801
C_k9_2od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\att_summary_by_mode.csv,init,10,806.7733000000001,2.108766440362724,805.7975,3.3381250000001046,805.60900375,808.00186,0.6112707690882184
C_k9_2od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\att_summary_by_mode.csv,mutation,10,808.0348499999999,3.037594379420787,808.131,2.676000000000045,806.16669375,809.781165,0.4558567867945061
C_k9_2od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\att_summary_by_mode.csv,none,10,811.7351999999998,2.3543597053598817,811.7217499999999,2.651625000000081,810.3456425,813.0622575000001,0.0
C_k9_2od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\att_summary_by_mode.csv,both,10,823.9215833333334,2.2490966962480936,824.0214583333334,2.864479166666684,822.6133395833332,825.2193093750001,-0.0202882058251078
C_k9_2od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\att_summary_by_mode.csv,init,10,820.8850833333332,3.700096583866195,821.1129166666667,2.836041666666688,818.54284375,822.9087093750001,0.3483289190088844
