instance_id,source_file,source_path,comparison,n_pairs,test,p_raw,p_holm,Z,r,cliffs_delta,cliffs_delta_CI_low,cliffs_delta_CI_high,CLES,cohen_dz
C_k9_1od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.556640625,1.0,-0.5878386109171436,-0.1858908907087695,-0.2,-0.8,0.4,0.6,-0.0450439430306625
C_k9_1od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.921875,0.921875,-0.098072152488661,-0.0310131376899519,0.0,-0.6,0.6,0.5,0.0166706621323861
C_k9_1od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.275390625,0.826171875,-1.0907324556930242,-0.3449198877858647,-0.4,-1.0,0.2,0.7,-0.3232089477239618
C_k9_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.845703125,0.845703125,-0.1946038037883163,-0.0615391261303583,0.0,-0.6,0.6,0.5,-0.1236294361917086
C_k9_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.375,1.0,-0.887146559018876,-0.280540374488064,-0.4,-0.8,0.2,0.7,-0.3488891057576044
C_k9_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.556640625,1.0,-0.5878386109171436,-0.1858908907087695,-0.2,-0.8,0.4,0.6,-0.2550784130150678
C_k9_1od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.431640625,0.431640625,-0.786387293998826,-0.248677497205275,-0.2,-0.8,0.4,0.6,-0.2358880546855799
C_k9_1od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.00390625,0.01171875,-2.8856349124267573,-0.9125178818969072,-0.8,-1.0,-0.4,0.9,-1.5208682552242427
C_k9_1od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.013671875,0.02734375,-2.465770895696496,-0.7797452218554403,-0.8,-1.0,-0.4,0.9,-0.959016708948178
C_k9_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.431640625,0.431640625,0.786387293998826,0.248677497205275,0.6,0.0,1.0,0.2,0.2220429661185845
