instance_id,source_file,source_path,seed,mode,gen,indiv,ATT,TTT,TimeLossSum,Arrivals,Teleports,k_closed,run_dir
D_k9_3od_x0.8,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\seed_best_preview.csv,8,both,13,22,495.693125,793109.0,532101.4000000007,1600,,9,D:\PSPS\runs_D_k9_3od_x0.8\both_seed8\g013_i022
D_k9_3od_x0.8,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\seed_best_preview.csv,8,init,9,5,490.159375,784255.0,528409.3400000002,1600,,9,D:\PSPS\runs_D_k9_3od_x0.8\init_seed8\g009_i005
D_k9_3od_x0.8,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\seed_best_preview.csv,8,mutation,12,4,496.431875,794291.0,540720.0799999996,1600,,9,D:\PSPS\runs_D_k9_3od_x0.8\mutation_seed8\g012_i004
D_k9_3od_x0.8,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\seed_best_preview.csv,8,none,9,11,494.946875,791915.0,536994.8800000001,1600,,9,D:\PSPS\runs_D_k9_3od_x0.8\none_seed8\g009_i011
D_k9_3od_x0.8,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\seed_best_preview.csv,9,both,3,3,492.82625,788522.0,533376.1699999996,1600,,9,D:\PSPS\runs_D_k9_3od_x0.8\both_seed9\g003_i003
D_k9_3od_x0.8,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\seed_best_preview.csv,9,init,15,14,500.698125,801117.0,544885.0999999997,1600,,9,D:\PSPS\runs_D_k9_3od_x0.8\init_seed9\g015_i014
D_k9_3od_x0.8,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\seed_best_preview.csv,9,mutation,12,15,494.513125,791221.0,535882.3199999996,1600,,9,D:\PSPS\runs_D_k9_3od_x0.8\mutation_seed9\g012_i015
D_k9_3od_x0.8,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\seed_best_preview.csv,9,none,15,9,496.515,794424.0,536355.7599999999,1600,,9,D:\PSPS\runs_D_k9_3od_x0.8\none_seed9\g015_i009
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,0,both,10,2,595.713,1191426.0,871809.0399999985,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed0\g010_i002
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,0,init,11,22,580.1595,1160319.0,839030.2000000001,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed0\g011_i022
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,0,mutation,13,3,610.9455,1221891.0,899412.3000000007,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed0\g013_i003
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,0,none,13,15,591.3895,1182779.0,858805.0100000002,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed0\g013_i015
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,1,both,14,11,596.5555,1193111.0,870533.7999999999,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed1\g014_i011
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,1,init,12,15,591.759,1183518.0,863009.0200000001,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed1\g012_i015
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,1,mutation,5,2,598.6745,1197349.0,876302.73,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed1\g005_i002
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,1,none,15,8,590.085,1180170.0,856665.5100000004,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed1\g015_i008
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,2,both,13,8,602.165,1204330.0,875547.1199999993,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed2\g013_i008
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,2,init,7,2,596.2995,1192599.0,866494.0400000003,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed2\g007_i002
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,2,mutation,12,17,598.364,1196728.0,874619.5000000007,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed2\g012_i017
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,2,none,2,5,602.878,1205756.0,882663.7599999987,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed2\g002_i005
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,3,both,9,14,590.5355,1181071.0,856881.6499999998,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed3\g009_i014
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,3,init,2,7,598.2185,1196437.0,874318.8900000005,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed3\g002_i007
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,3,mutation,6,13,590.9485,1181897.0,859535.1600000006,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed3\g006_i013
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,3,none,10,8,611.245,1222490.0,891933.3900000013,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed3\g010_i008
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,4,both,7,21,593.279,1186558.0,865576.0399999995,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed4\g007_i021
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,4,init,8,5,593.796,1187592.0,867447.9299999996,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed4\g008_i005
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,4,mutation,8,23,602.535,1205070.0,879702.05,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed4\g008_i023
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,4,none,3,18,610.6445,1221289.0,901466.3199999996,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed4\g003_i018
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,5,both,6,17,594.7005,1189401.0,868107.6399999985,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed5\g006_i017
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,5,init,6,21,608.7345,1217469.0,887003.4899999998,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed5\g006_i021
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,5,mutation,10,5,601.4345,1202869.0,880246.0800000003,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed5\g010_i005
