instance_id,source_file,source_path,group,metric,Shapiro_W,Shapiro_p
B_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.8850940636755793,0.1492189273772959
B_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9173618763739878,0.3354763514849203
B_k9_3od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\assumption_checks.csv,both,ATT,0.9674543971298524,0.8662919038471739
B_k9_3od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\assumption_checks.csv,init,ATT,0.911926799250344,0.2944901044136281
B_k9_3od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\assumption_checks.csv,mutation,ATT,0.8375770957462568,0.0412693985990811
B_k9_3od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\assumption_checks.csv,none,ATT,0.9118090133207312,0.2936496571962097
B_k9_3od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.90311172644563,0.2369420823583118
B_k9_3od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9711882597721192,0.901638481501036
B_k9_3od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9639960082813231,0.830294184747957
C_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\assumption_checks.csv,both,ATT,0.8306485496134393,0.0340679917079263
C_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\assumption_checks.csv,init,ATT,0.7616172527634428,0.0049432844200819
C_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\assumption_checks.csv,mutation,ATT,0.7051892638248891,0.0010181976274979
C_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\assumption_checks.csv,none,ATT,0.7903038974700303,0.0110511143292167
C_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.8862111237590651,0.1536454416875856
C_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9294190463390952,0.4422022416272559
C_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9311179691784808,0.458978401629911
C_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\assumption_checks.csv,both,ATT,0.9469601508712534,0.6326967704068641
C_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\assumption_checks.csv,init,ATT,0.7863631502291872,0.0098955919875841
C_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\assumption_checks.csv,mutation,ATT,0.891046097445183,0.1742342715434309
C_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\assumption_checks.csv,none,ATT,0.9562671639184436,0.7426167721620552
C_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9598511701914868,0.7841739781474003
C_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9479141335548756,0.6438909633970735
C_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.8057227646788849,0.0170151054283967
