instance_id,source_file,source_path,mode,seed,gen,indiv,run_dir,Arrivals,TTT,ATT,TimeLossSum,WaitingTimeSum,RouteLengthSum,MeanSpeed,Teleports,k_closed,closed_edges,Reason,WallTimeSec,Step,MinExpectedEnd,VaporizedCnt,Demand,Score,is_valid
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,1,2,20,D:\PSPS\runs_A_k4_1od_x1.0\both_seed1\g002_i020,1000,273261.0,273.261,198675.98000000007,155009.0,1004145.390000001,3.674675090847216,,4,"E14,E16,E21,E42",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,2,5,5,D:\PSPS\runs_A_k4_1od_x1.0\both_seed2\g005_i005,1000,266637.0,266.637,193990.99000000005,150187.0,980783.4099999958,3.6783470036041352,,4,"E27,E42,E5,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,3,8,1,D:\PSPS\runs_A_k4_1od_x1.0\both_seed3\g008_i001,1000,267196.0,267.196,195309.37999999983,153303.0,973997.589999999,3.645255131064833,,4,"E16,E17,E18,E27",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,4,3,15,D:\PSPS\runs_A_k4_1od_x1.0\both_seed4\g003_i015,1000,274341.0,274.341,199989.88,155775.0,1001522.3300000016,3.650647661122477,,4,"E14,E21,E3,E5",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,5,13,19,D:\PSPS\runs_A_k4_1od_x1.0\both_seed5\g013_i019,1000,258046.0,258.046,184895.2500000001,140676.0,986054.5699999982,3.8212356324066175,,4,"E23,E27,E42,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,6,11,23,D:\PSPS\runs_A_k4_1od_x1.0\both_seed6\g011_i023,1000,270478.0,270.478,198536.22999999995,156897.0,972560.4999999994,3.5957101871501544,,4,"E16,E33,E37,E42",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,7,15,17,D:\PSPS\runs_A_k4_1od_x1.0\both_seed7\g015_i017,1000,252580.0,252.58,178463.66000000018,135552.0,998455.0400000006,3.9530249425924486,,4,"E23,E41,E42,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,8,14,22,D:\PSPS\runs_A_k4_1od_x1.0\both_seed8\g014_i022,1000,261567.0,261.567,189963.15,148120.0,967924.0500000016,3.700482285609429,,4,"E1,E23,E33,E42",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,9,11,7,D:\PSPS\runs_A_k4_1od_x1.0\both_seed9\g011_i007,1000,266551.0,266.551,191740.68000000008,147199.0,1006876.1900000004,3.77742417023384,,4,"E16,E21,E42,E5",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,0,7,12,D:\PSPS\runs_A_k4_1od_x1.0\init_seed0\g007_i012,1000,258046.0,258.046,184895.2500000001,140676.0,986054.5699999982,3.8212356324066175,,4,"E23,E27,E42,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,1,14,1,D:\PSPS\runs_A_k4_1od_x1.0\init_seed1\g014_i001,1000,270338.0,270.338,198965.00999999983,154225.0,964841.1700000016,3.569017933105969,,4,"E23,E33,E38,E41",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,2,14,22,D:\PSPS\runs_A_k4_1od_x1.0\init_seed2\g014_i022,1000,254925.0,254.925,183922.25000000003,140350.0,961776.6400000022,3.772782740021584,,4,"E11,E23,E32,E33",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,3,13,13,D:\PSPS\runs_A_k4_1od_x1.0\init_seed3\g013_i013,1000,267601.0,267.601,196183.8,152444.0,965379.130000001,3.607531847788316,,4,"E18,E23,E33,E41",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,4,15,20,D:\PSPS\runs_A_k4_1od_x1.0\init_seed4\g015_i020,1000,263536.0,263.536,189312.5400000001,145398.0,998765.3499999972,3.789863054762906,,4,"E23,E36,E42,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,5,13,18,D:\PSPS\runs_A_k4_1od_x1.0\init_seed5\g013_i018,1000,265638.0,265.638,190232.16000000003,147521.0,1015314.8500000022,3.822174726507511,,4,"E14,E36,E42,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,6,3,13,D:\PSPS\runs_A_k4_1od_x1.0\init_seed6\g003_i013,1000,273932.0,273.932,200999.94999999984,157499.0,984646.399999997,3.594492063723833,,4,"E12,E13,E33,E8",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,7,10,5,D:\PSPS\runs_A_k4_1od_x1.0\init_seed7\g010_i005,1000,261567.0,261.567,189963.15,148120.0,967924.0500000016,3.700482285609429,,4,"E1,E23,E33,E42",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,8,3,12,D:\PSPS\runs_A_k4_1od_x1.0\init_seed8\g003_i012,1000,267997.0,267.997,195103.5399999999,154359.0,983831.4599999991,3.6710540043358666,,4,"E14,E20,E42,E7",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,init,9,13,6,D:\PSPS\runs_A_k4_1od_x1.0\init_seed9\g013_i006,1000,274956.0,274.956,201952.49,158420.0,985183.4599999994,3.5830585984666614,,4,"E30,E32,E39,E42",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,0,7,15,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed0\g007_i015,1000,270506.0,270.506,198263.0499999998,154980.0,978329.6899999982,3.6166653974403458,,4,"E14,E16,E17,E41",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,1,14,1,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed1\g014_i001,1000,271774.0,271.774,198499.73,153672.0,988624.7699999968,3.637672367481793,,4,"E32,E41,E42,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,2,4,8,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed2\g004_i008,1000,269221.0,269.221,198345.9500000002,155712.0,960720.4099999958,3.568519580567622,,4,"E12,E23,E41,E5",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,3,1,2,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed3\g001_i002,1000,266551.0,266.551,191740.68000000008,147199.0,1006876.1900000004,3.77742417023384,,4,"E16,E21,E42,E5",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,4,12,15,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed4\g012_i015,1000,273185.0,273.185,201130.06000000008,158270.0,974174.0599999992,3.5659866390907227,,4,"E30,E5,E6,E8",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,5,11,14,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed5\g011_i014,1000,264904.0,264.904,190908.4299999999,148711.0,999728.1199999992,3.773926101531117,,4,"E12,E16,E41,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,6,8,19,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed6\g008_i019,1000,261808.0,261.808,190493.1499999997,147604.0,964231.5699999996,3.682972139888772,,4,"E15,E33,E38,E41",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,7,3,1,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed7\g003_i001,1000,267196.0,267.196,195309.37999999983,153303.0,973997.589999999,3.645255131064833,,4,"E16,E17,E19,E27",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,8,12,16,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed8\g012_i016,1000,273328.0,273.328,201754.67999999988,158190.0,968860.7699999992,3.54468173769244,,4,"E12,E38,E39,E41",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,mutation,9,10,12,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed9\g010_i012,1000,264904.0,264.904,190908.4299999999,148711.0,999728.1199999992,3.773926101531117,,4,"E12,E16,E41,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,0,15,4,D:\PSPS\runs_A_k4_1od_x1.0\none_seed0\g015_i004,1000,272822.0,272.822,201394.10999999967,156753.0,965705.5200000026,3.5396907873998527,,4,"E1,E18,E23,E42",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,1,10,1,D:\PSPS\runs_A_k4_1od_x1.0\none_seed1\g010_i001,1000,267710.0,267.71,194668.1600000001,151837.0,987250.6999999956,3.687761757125231,,4,"E12,E20,E38,E42",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,2,10,18,D:\PSPS\runs_A_k4_1od_x1.0\none_seed2\g010_i018,1000,268593.0,268.593,197285.85000000003,153336.0,964179.0900000002,3.589740201717841,,4,"E23,E33,E39,E8",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,3,1,2,D:\PSPS\runs_A_k4_1od_x1.0\none_seed3\g001_i002,1000,266551.0,266.551,191740.68000000008,147199.0,1006876.1900000004,3.77742417023384,,4,"E16,E21,E42,E5",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,4,9,9,D:\PSPS\runs_A_k4_1od_x1.0\none_seed4\g009_i009,1000,271075.0,271.075,197407.87000000005,154979.0,995654.429999998,3.672985077930455,,4,"E12,E23,E4,E42",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,5,11,10,D:\PSPS\runs_A_k4_1od_x1.0\none_seed5\g011_i010,1000,267710.0,267.71,194668.1600000001,151837.0,987250.6999999956,3.687761757125231,,4,"E12,E20,E38,E42",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,6,5,20,D:\PSPS\runs_A_k4_1od_x1.0\none_seed6\g005_i020,1000,268257.0,268.257,197344.54999999976,154680.0,959345.9800000002,3.5762197444987462,,4,"E1,E23,E3,E41",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,7,12,17,D:\PSPS\runs_A_k4_1od_x1.0\none_seed7\g012_i017,1000,272302.0,272.302,198642.4799999997,153197.0,994942.5499999976,3.653820206976069,,4,"E12,E23,E38,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,8,14,20,D:\PSPS\runs_A_k4_1od_x1.0\none_seed8\g014_i020,1000,263125.0,263.125,188157.7000000004,145201.0,1010917.6400000034,3.841967277909752,,4,"E11,E14,E42,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,none,9,8,5,D:\PSPS\runs_A_k4_1od_x1.0\none_seed9\g008_i005,1000,270247.0,270.247,199287.47,156262.0,959891.9499999996,3.551906034109535,,4,"E1,E15,E23,E41",OK,,,,,,,True
