instance_id,source_file,source_path,mode,Reason,n
D_k9_2od_x1.0,reason_counts.csv,D:\PSPS\runs_D_k9_2od_x1.0\analysis\tables\reason_counts.csv,both,OK,3460
D_k9_2od_x1.0,reason_counts.csv,D:\PSPS\runs_D_k9_2od_x1.0\analysis\tables\reason_counts.csv,init,OK,3455
D_k9_2od_x1.0,reason_counts.csv,D:\PSPS\runs_D_k9_2od_x1.0\analysis\tables\reason_counts.csv,init,NO_TRIPINFO,5
D_k9_2od_x1.0,reason_counts.csv,D:\PSPS\runs_D_k9_2od_x1.0\analysis\tables\reason_counts.csv,mutation,OK,3460
D_k9_2od_x1.0,reason_counts.csv,D:\PSPS\runs_D_k9_2od_x1.0\analysis\tables\reason_counts.csv,none,OK,3460
D_k9_2od_x1.2,reason_counts.csv,D:\PSPS\runs_D_k9_2od_x1.2\analysis\tables\reason_counts.csv,both,OK,3460
D_k9_2od_x1.2,reason_counts.csv,D:\PSPS\runs_D_k9_2od_x1.2\analysis\tables\reason_counts.csv,init,OK,3460
D_k9_2od_x1.2,reason_counts.csv,D:\PSPS\runs_D_k9_2od_x1.2\analysis\tables\reason_counts.csv,mutation,OK,3460
D_k9_2od_x1.2,reason_counts.csv,D:\PSPS\runs_D_k9_2od_x1.2\analysis\tables\reason_counts.csv,none,OK,3460
D_k9_3od_x0.8,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\reason_counts.csv,both,OK,3460
D_k9_3od_x0.8,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\reason_counts.csv,init,OK,3460
D_k9_3od_x0.8,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\reason_counts.csv,mutation,OK,3460
D_k9_3od_x0.8,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\reason_counts.csv,none,OK,3460
D_k9_3od_x1.0,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\reason_counts.csv,both,OK,3460
D_k9_3od_x1.0,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\reason_counts.csv,init,OK,3460
D_k9_3od_x1.0,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\reason_counts.csv,mutation,OK,3460
