eval,k,score,accepted,best_score,temp,closed_edges,run_dir
90,5,629.396667,1,629.396667,2.2714,"-120682116#6,124266855#7,36847354#3,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0089
91,6,629.396667,1,629.396667,2.2512,"-120682116#6,-5197062#4,124266855#7,36847354#3,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0090
92,5,629.396667,1,629.396667,2.2311,"-5197062#4,124266855#7,36847354#3,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0091
93,6,629.396667,1,629.396667,2.2111,"-5197062#4,124266855#7,36847354#3,36974908#0,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0092
94,6,644.456000,0,629.396667,2.1914,"-5197062#4,124266855#7,220487593,36847354#3,36974908#0,37627664#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0093
95,5,629.396667,1,629.396667,2.1718,"-5197062#4,36847354#3,36974908#0,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0094
96,5,629.396667,1,629.396667,2.1525,"219797807#0,36847354#3,36974908#0,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0095
97,5,629.396667,1,629.396667,2.1332,"219797807#0,25072978,36847354#3,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0096
98,6,629.396667,1,629.396667,2.1142,"-36974892,219797807#0,25072978,36847354#3,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0097
99,5,629.396667,1,629.396667,2.0953,"-36974892,219797807#0,36847354#3,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0098
100,5,633.466667,0,629.396667,2.0766,"-36974892,219797807#0,36847354#3,37627664#2,4970256#8",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0099
101,5,644.456000,0,629.396667,2.0581,"-36974892,219797807#0,36847354#3,37627664#2,4970255#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0100
102,4,629.396667,1,629.396667,2.0397,"-36974892,219797807#0,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0101
103,4,644.456000,0,629.396667,2.0215,"-36974892,-40009020#6,219797807#0,37627664#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0102
