instance_id,mode,seed,att_multi,att_default
A_k4_1od_x1.2,mutation,3,262.5478,266.551
A_k4_1od_x1.2,mutation,4,271.2526,270.862
A_k4_1od_x1.2,mutation,5,273.9586,267.601
A_k4_1od_x1.2,mutation,6,286.1726,269.986
A_k4_1od_x1.2,mutation,7,273.6006,267.937
A_k4_1od_x1.2,mutation,8,259.4214,252.58
A_k4_1od_x1.2,mutation,9,285.8388,275.763
A_k4_1od_x1.2,none,0,280.6598,277.436
A_k4_1od_x1.2,none,1,277.7798,275.691
A_k4_1od_x1.2,none,2,283.9826,273.008
A_k4_1od_x1.2,none,3,262.5478,266.551
A_k4_1od_x1.2,none,4,279.565,276.188
A_k4_1od_x1.2,none,5,274.92999999999995,272.725
A_k4_1od_x1.2,none,6,280.4134,262.599
A_k4_1od_x1.2,none,7,277.0494,264.149
A_k4_1od_x1.2,none,8,270.8478,275.518
A_k4_1od_x1.2,none,9,290.257,276.771
A_k4_2od_x0.8,both,0,201.90225,195.8525
A_k4_2od_x0.8,both,1,198.33800000000002,195.38125
A_k4_2od_x0.8,both,2,205.72600000000003,197.12125
A_k4_2od_x0.8,both,3,205.086,198.29375
A_k4_2od_x0.8,both,4,205.56799999999998,197.29375
A_k4_2od_x0.8,both,5,202.13799999999998,196.14375
A_k4_2od_x0.8,both,6,210.61975,198.68375
A_k4_2od_x0.8,both,7,204.06575,196.65875
A_k4_2od_x0.8,both,8,211.15524999999997,193.76375
A_k4_2od_x0.8,both,9,211.29699999999997,197.47625
A_k4_2od_x0.8,init,0,211.15524999999997,193.76375
A_k4_2od_x0.8,init,1,211.15524999999997,193.76375
A_k4_2od_x0.8,init,2,205.72600000000003,197.12125
A_k4_2od_x0.8,init,3,206.39450000000002,198.29375
A_k4_2od_x0.8,init,4,205.56799999999998,197.29375
A_k4_2od_x0.8,init,5,210.99575,198.69875
A_k4_2od_x0.8,init,6,203.88,197.75375
A_k4_2od_x0.8,init,7,201.70075,198.52375
A_k4_2od_x0.8,init,8,218.474,204.9075
A_k4_2od_x0.8,init,9,193.99675,190.63625
A_k4_2od_x0.8,mutation,0,193.99675,190.63625
A_k4_2od_x0.8,mutation,1,211.29699999999997,197.47625
A_k4_2od_x0.8,mutation,2,205.58499999999998,197.12125
A_k4_2od_x0.8,mutation,3,205.56799999999998,197.29375
A_k4_2od_x0.8,mutation,4,207.1805,196.32625
A_k4_2od_x0.8,mutation,5,195.34300000000002,197.96625
A_k4_2od_x0.8,mutation,6,206.69725,195.81125
A_k4_2od_x0.8,mutation,7,203.48125,196.4175
A_k4_2od_x0.8,mutation,8,211.15524999999997,193.76375
A_k4_2od_x0.8,mutation,9,210.5305,200.91625
A_k4_2od_x0.8,none,0,210.61975,198.68375
A_k4_2od_x0.8,none,1,203.88,197.75375
A_k4_2od_x0.8,none,2,205.58499999999998,197.12125
A_k4_2od_x0.8,none,3,201.70075,198.52375
A_k4_2od_x0.8,none,4,205.086,198.29375
A_k4_2od_x0.8,none,5,202.13799999999998,196.14375
A_k4_2od_x0.8,none,6,203.88,197.75375
A_k4_2od_x0.8,none,7,204.06575,196.65875
A_k4_2od_x0.8,none,8,203.356,192.9725
A_k4_2od_x0.8,none,9,202.13799999999998,196.14375
A_k4_2od_x1.0,both,0,263.9304,252.321
A_k4_2od_x1.0,both,1,240.07739999999998,219.092
A_k4_2od_x1.0,both,2,241.43519999999998,224.741
A_k4_2od_x1.0,both,3,260.9398,236.291
A_k4_2od_x1.0,both,4,307.90240000000006,236.081
A_k4_2od_x1.0,both,5,241.43519999999998,224.741
A_k4_2od_x1.0,both,6,247.17200000000003,241.379
A_k4_2od_x1.0,both,7,252.5398,233.279
A_k4_2od_x1.0,both,8,241.43519999999998,224.741
A_k4_2od_x1.0,both,9,247.17200000000003,241.379
A_k4_2od_x1.0,init,0,238.3762,232.019
A_k4_2od_x1.0,init,1,266.7142,244.263
A_k4_2od_x1.0,init,2,256.7188,251.549
A_k4_2od_x1.0,init,3,265.3478,245.811
A_k4_2od_x1.0,init,4,264.86379999999997,252.02
A_k4_2od_x1.0,init,5,307.90240000000006,236.081
A_k4_2od_x1.0,init,6,241.43519999999998,224.741
A_k4_2od_x1.0,init,7,243.71959999999999,230.234
A_k4_2od_x1.0,init,8,260.9398,236.291
A_k4_2od_x1.0,init,9,243.71959999999999,230.234
A_k4_2od_x1.0,mutation,0,307.90240000000006,236.081
A_k4_2od_x1.0,mutation,1,285.4612,243.008
A_k4_2od_x1.0,mutation,2,281.98199999999997,243.33
A_k4_2od_x1.0,mutation,3,258.6016,247.993
A_k4_2od_x1.0,mutation,4,238.3762,232.019
A_k4_2od_x1.0,mutation,5,241.84,241.169
A_k4_2od_x1.0,mutation,6,253.3016,246.577
A_k4_2od_x1.0,mutation,7,307.90240000000006,236.081
A_k4_2od_x1.0,mutation,8,307.90240000000006,236.081
A_k4_2od_x1.0,mutation,9,260.9398,236.291
A_k4_2od_x1.0,none,0,241.43519999999998,224.741
A_k4_2od_x1.0,none,1,286.62219999999996,252.982
A_k4_2od_x1.0,none,2,264.86379999999997,252.02
A_k4_2od_x1.0,none,3,252.5398,233.279
A_k4_2od_x1.0,none,4,252.7842,246.375
A_k4_2od_x1.0,none,5,273.81399999999996,257.556
A_k4_2od_x1.0,none,6,238.3762,232.019
A_k4_2od_x1.0,none,7,260.1958,256.06
A_k4_2od_x1.0,none,8,252.5398,233.279
A_k4_2od_x1.0,none,9,246.046,236.075
A_k4_2od_x1.2,both,0,358.868,315.9033333333333
A_k4_2od_x1.2,both,1,337.59000000000003,319.63666666666666
A_k4_2od_x1.2,both,2,326.6238333333333,314.7583333333333
A_k4_2od_x1.2,both,3,360.84383333333335,311.2916666666667
A_k4_2od_x1.2,both,4,351.7126666666667,306.87583333333333
A_k4_2od_x1.2,both,5,353.05266666666665,310.64166666666665
A_k4_2od_x1.2,both,6,349.504,308.5541666666667
A_k4_2od_x1.2,both,7,344.9323333333333,306.9825
A_k4_2od_x1.2,both,8,352.28566666666666,306.30083333333334
A_k4_2od_x1.2,both,9,349.66516666666666,309.45416666666665
A_k4_2od_x1.2,init,0,344.9323333333333,306.9825
A_k4_2od_x1.2,init,1,349.504,308.5541666666667
A_k4_2od_x1.2,init,2,329.5371666666666,302.935
A_k4_2od_x1.2,init,3,344.5625,319.68
A_k4_2od_x1.2,init,4,351.5875,326.00083333333333
A_k4_2od_x1.2,init,5,339.68666666666667,330.4316666666667
A_k4_2od_x1.2,init,6,353.05266666666665,310.64166666666665
A_k4_2od_x1.2,init,7,356.946,315.93416666666667
A_k4_2od_x1.2,init,8,349.504,308.5541666666667
A_k4_2od_x1.2,init,9,359.092,316.0183333333333
A_k4_2od_x1.2,mutation,0,335.3156666666667,310.93
A_k4_2od_x1.2,mutation,1,358.532,317.6625
A_k4_2od_x1.2,mutation,2,348.9626666666667,317.94083333333333
A_k4_2od_x1.2,mutation,3,360.84383333333335,311.2916666666667
A_k4_2od_x1.2,mutation,4,340.14283333333333,311.06
A_k4_2od_x1.2,mutation,5,345.47116666666665,319.95666666666665
A_k4_2od_x1.2,mutation,6,343.49983333333336,315.2816666666667
A_k4_2od_x1.2,mutation,7,340.14283333333333,311.06
A_k4_2od_x1.2,mutation,8,358.6775,320.62833333333333
A_k4_2od_x1.2,mutation,9,351.7126666666667,306.87583333333333
A_k4_2od_x1.2,none,0,329.5371666666666,302.935
A_k4_2od_x1.2,none,1,366.9481666666667,324.48
A_k4_2od_x1.2,none,2,365.87416666666667,321.855
A_k4_2od_x1.2,none,3,340.88916666666665,320.2183333333333
A_k4_2od_x1.2,none,4,352.28566666666666,306.30083333333334
A_k4_2od_x1.2,none,5,358.868,315.9033333333333
A_k4_2od_x1.2,none,6,357.76983333333334,310.7216666666667
A_k4_2od_x1.2,none,7,335.3156666666667,310.93
A_k4_2od_x1.2,none,8,363.87766666666664,324.9716666666667
A_k4_2od_x1.2,none,9,326.6238333333333,314.7583333333333
A_k4_3od_x0.8,both,0,194.159,183.64
A_k4_3od_x0.8,both,1,189.11624999999998,181.055
A_k4_3od_x0.8,both,2,196.639,184.725
A_k4_3od_x0.8,both,3,189.11624999999998,181.055
A_k4_3od_x0.8,both,4,196.639,184.725
A_k4_3od_x0.8,both,5,189.11624999999998,181.055
A_k4_3od_x0.8,both,6,194.41375,184.34625
A_k4_3od_x0.8,both,7,194.159,183.64
A_k4_3od_x0.8,both,8,198.23325,191.55
A_k4_3od_x0.8,both,9,193.8415,182.035
A_k4_3od_x0.8,init,0,198.512,185.5775
A_k4_3od_x0.8,init,1,197.34224999999998,187.2875
A_k4_3od_x0.8,init,2,189.48499999999999,189.48
A_k4_3od_x0.8,init,3,186.01975,181.0325
A_k4_3od_x0.8,init,4,193.3555,189.34875
A_k4_3od_x0.8,init,5,198.5315,189.695
A_k4_3od_x0.8,init,6,193.8415,182.035
A_k4_3od_x0.8,init,7,193.86325,187.7625
A_k4_3od_x0.8,init,8,189.48499999999999,189.48
A_k4_3od_x0.8,init,9,196.639,184.725
A_k4_3od_x0.8,mutation,0,196.56475,189.10375
A_k4_3od_x0.8,mutation,1,196.639,184.725
A_k4_3od_x0.8,mutation,2,186.01975,181.0325
A_k4_3od_x0.8,mutation,3,193.8415,182.035
A_k4_3od_x0.8,mutation,4,189.11624999999998,181.055
A_k4_3od_x0.8,mutation,5,196.639,184.725
A_k4_3od_x0.8,mutation,6,193.8415,182.035
A_k4_3od_x0.8,mutation,7,191.232,185.0225
A_k4_3od_x0.8,mutation,8,186.01975,181.0325
A_k4_3od_x0.8,mutation,9,202.4545,192.4125
A_k4_3od_x0.8,none,0,195.71599999999998,187.4175
A_k4_3od_x0.8,none,1,208.65425,190.4975
A_k4_3od_x0.8,none,2,186.99325,189.4425
A_k4_3od_x0.8,none,3,189.83499999999998,188.32625
A_k4_3od_x0.8,none,4,203.10250000000002,194.5025
A_k4_3od_x0.8,none,5,191.232,185.0225
A_k4_3od_x0.8,none,6,208.54225000000002,190.4975
A_k4_3od_x0.8,none,7,194.159,183.64
A_k4_3od_x0.8,none,8,205.38600000000002,190.4975
A_k4_3od_x0.8,none,9,196.639,184.725
A_k4_3od_x1.0,both,0,247.60039999999998,236.189
A_k4_3od_x1.0,both,1,250.33200000000002,238.848
