gen,best_pred,mean_pred
186,-272.902474,-301.961459
187,-272.902474,-298.255092
188,-272.902474,-301.250018
189,-272.902474,-296.715425
190,-272.902474,-294.147612
191,-272.902474,-293.130640
192,-272.902474,-297.176303
193,-272.902474,-298.667569
194,-272.902474,-297.162825
195,-272.902474,-295.771673
196,-272.902474,-295.428151
197,-272.902474,-297.095367
198,-272.902474,-298.644005
199,-272.902474,-294.841451
200,-272.902474,-293.529741
