sample_idx,k,y_dataset_randseed,att_eval_seed
436,3,318.864013671875,314.164
437,2,327.29400634765625,282.502
438,1,305.552001953125,283.118
440,4,334.48699951171875,336.274
441,1,299.2080078125,311.341
442,4,279.8059997558594,279.651
443,2,310.02801513671875,298.399
444,1,296.43499755859375,286.702
445,4,320.0260009765625,290.516
446,4,293.1159973144531,284.682
447,2,287.6189880371094,316.587
448,2,313.0849914550781,315.954
449,2,312.135009765625,299.278
450,1,327.7869873046875,297.978
451,2,298.19500732421875,281.974
452,4,273.09100341796875,286.979
454,2,309.7279968261719,304.136
455,2,301.74700927734375,305.817
456,4,281.2149963378906,288.327
458,4,355.1000061035156,324.787
459,3,303.2380065917969,299.52
461,3,285.1919860839844,295.891
462,1,294.25299072265625,286.702
463,1,306.6090087890625,313.484
464,1,319.73699951171875,309.908
465,1,319.7850036621094,311.897
466,2,298.6199951171875,304.503
467,1,294.9599914550781,299.278
470,2,296.1809997558594,303.944
471,1,287.3160095214844,315.812
472,4,312.35699462890625,301.573
473,3,337.86199951171875,347.51
474,1,335.135009765625,311.104
475,1,299.6159973144531,298.399
477,4,320.6940002441406,323.792
478,1,290.00799560546875,308.665
479,3,353.9129943847656,346.654
480,1,311.38299560546875,315.812
481,2,317.32598876953125,317.481
483,1,290.4540100097656,315.812
484,2,302.7049865722656,303.944
485,2,313.5899963378906,317.481
486,1,276.41900634765625,280.385
487,1,302.7550048828125,310.273
488,2,294.1610107421875,302.527
489,4,316.1499938964844,309.081
490,1,304.2720031738281,303.74
491,4,304.6759948730469,283.697
492,4,298.260009765625,279.986
494,3,281.5589904785156,259.206
495,2,301.13299560546875,301.026
496,3,297.6960144042969,292.965
497,4,282.0559997558594,299.52
498,3,290.2510070800781,309.443
499,3,324.87701416015625,302.757
500,2,286.4679870605469,303.713
501,4,294.8219909667969,295.134
502,4,250.89199829101562,260.295
504,2,308.2030029296875,350.14
506,1,303.07598876953125,291.641
507,3,294.281005859375,295.432
508,1,291.40301513671875,286.702
509,1,311.3080139160156,315.812
512,1,284.1579895019531,309.555
513,1,302.1960144042969,303.151
514,2,294.1629943847656,310.946
516,1,294.04901123046875,301.075
517,4,285.3659973144531,297.425
518,4,324.2659912109375,313.327
519,3,361.7090148925781,355.593
520,1,304.6300048828125,299.278
521,1,291.635009765625,297.692
522,3,262.6780090332031,282.619
524,3,282.010009765625,286.387
525,1,316.92401123046875,309.648
526,4,282.0880126953125,275.396
527,1,297.1759948730469,299.278
528,1,304.697998046875,315.812
530,3,305.3389892578125,334.686
531,1,291.4530029296875,297.692
533,3,324.86700439453125,326.381
534,4,301.51800537109375,309.287
535,2,315.1199951171875,317.998
536,2,306.125,287.135
537,1,340.43499755859375,341.586
538,4,331.25799560546875,318.389
539,1,296.5480041503906,311.341
540,1,293.46099853515625,309.648
541,2,302.97100830078125,304.16
543,1,307.0639953613281,298.399
544,2,300.406005859375,303.541
547,3,301.9800109863281,285.109
548,1,288.3550109863281,298.399
549,1,305.9070129394531,309.073
550,4,294.84600830078125,322.272
554,2,316.0790100097656,315.38
555,1,309.0989990234375,315.812
556,2,300.9129943847656,292.562
557,3,313.5329895019531,300.498
558,2,325.5889892578125,320.093
560,1,282.54400634765625,280.385
561,3,294.6319885253906,294.092
562,2,301.3529968261719,304.577
