sample_idx,k,y_dataset_randseed,att_eval_seed
634,6,533.4650268554688,536.2815
635,6,551.1939697265625,535.3175
636,6,512.8925170898438,539.4035
637,9,529.6334838867188,536.7995
638,2,542.8939819335938,523.52
639,9,549.7694702148438,561.626
641,5,520.6740112304688,521.5625
642,2,527.1104736328125,538.6315
643,6,525.9614868164062,525.3235
644,3,519.2520141601562,495.1095
645,5,535.406982421875,517.5
646,3,528.4180297851562,539.841
647,6,538.3385009765625,564.171
648,4,507.9960021972656,527.5075
649,6,505.760009765625,510.092
650,1,531.9730224609375,538.6315
651,4,532.0565185546875,501.378
652,9,527.032470703125,508.6555
653,9,548.7130126953125,542.3515
654,5,517.2080078125,500.8845
655,9,526.9600219726562,503.1585
656,3,517.4340209960938,512.6035
657,3,502.0769958496094,538.6315
658,1,523.3889770507812,518.552
659,8,536.7639770507812,522.4385
660,7,528.5280151367188,510.689
662,9,519.801513671875,526.3795
663,9,530.864013671875,530.1425
664,7,510.02899169921875,506.367
665,3,511.6080017089844,523.1005
666,5,521.7744750976562,511.471
667,9,530.4450073242188,513.2345
669,8,542.6909790039062,530.234
670,4,511.7959899902344,489.4005
671,6,513.4935302734375,531.454
672,7,545.1719970703125,506.3275
673,2,560.2160034179688,531.9535
674,9,533.1199951171875,509.2145
675,9,524.3560180664062,508.3605
676,5,537.6425170898438,542.564
677,7,513.1005249023438,538.5415
678,5,522.9445190429688,515.1905
679,8,510.37548828125,507.0595
680,9,501.9389953613281,501.6695
681,4,503.3905029296875,533.026
682,5,529.1849975585938,515.4085
684,2,559.0855102539062,527.8085
685,1,515.7849731445312,538.6315
686,4,528.6199951171875,535.1
687,9,505.2560119628906,513.38
688,6,514.8355102539062,533.915
689,7,547.282470703125,520.4525
691,5,527.6644897460938,520.9765
692,3,513.5905151367188,516.5115
693,7,513.3955078125,521.99
694,1,508.12200927734375,522.556
695,4,520.3585205078125,508.871
696,4,515.0634765625,499.706
698,9,525.4794921875,541.917
699,4,510.46051025390625,513.2285
700,6,531.39599609375,535.761
701,6,501.0115051269531,511.7375
702,2,525.3494873046875,543.444
703,6,518.021484375,512.8865
704,8,506.2065124511719,513.7685
705,3,527.4505004882812,513.139
706,3,542.2725219726562,501.378
707,1,510.25799560546875,541.375
708,4,517.3665161132812,534.5915
709,3,511.5820007324219,511.4835
710,1,559.7009887695312,543.6595
711,7,558.2150268554688,530.987
712,3,536.3380126953125,508.0255
713,4,526.87451171875,536.6625
714,2,509.69549560546875,530.4105
715,8,531.9619750976562,543.6095
716,2,517.0880126953125,531.9535
717,5,529.8330078125,530.29
718,3,533.2575073242188,544.726
719,8,515.2420043945312,531.599
720,6,513.3355102539062,523.7015
721,3,522.9774780273438,519.4955
722,7,518.4945068359375,505.575
723,3,494.2095031738281,538.6315
724,9,517.8359985351562,499.6575
726,4,515.5695190429688,522.934
727,4,506.9125061035156,542.7005
728,2,525.2835083007812,509.493
729,2,499.323486328125,518.7735
730,6,558.6599731445312,507.0785
731,7,525.5150146484375,546.4935
732,3,514.8175048828125,533.0015
733,8,520.5880126953125,506.3725
735,9,520.863525390625,512.0505
736,4,534.8074951171875,538.5555
738,4,514.1964721679688,539.533
739,3,515.092529296875,524.375
740,1,527.5360107421875,530.218
741,3,521.7319946289062,538.6315
742,7,513.1005249023438,524.5765
743,5,528.967529296875,529.951
744,3,541.45947265625,538.961
745,1,523.18798828125,538.6315
746,3,538.9420166015625,541.375
747,3,512.1370239257812,529.6965
