sample_idx,k,y_dataset_randseed,att_eval_seed
99,8,598.552001953125,644.456
100,5,603.8333129882812,643.9946666666667
104,4,614.7239990234375,644.456
105,8,636.9326782226562,643.9946666666667
106,2,596.6573486328125,644.456
107,9,771.6266479492188,685.1153333333333
109,5,594.427978515625,644.456
110,4,609.1913452148438,644.456
112,6,601.1666870117188,644.456
113,1,607.6079711914062,644.456
114,2,624.502685546875,644.456
115,2,583.8433227539062,618.5913333333333
116,6,593.4386596679688,644.456
117,2,378.22332763671875,380.0353333333333
118,5,607.3946533203125,644.456
119,7,621.9559936523438,644.456
120,5,633.8273315429688,644.456
121,2,623.8480224609375,644.456
122,5,651.1793212890625,644.456
123,9,611.61865234375,644.456
124,7,624.2146606445312,644.456
125,5,652.5553588867188,644.456
126,2,595.9893188476562,644.456
127,2,615.9573364257812,644.456
128,8,612.0892944335938,2192.349333333333
129,1,561.6619873046875,644.456
130,9,626.3446655273438,617.06
131,7,726.2440185546875,751.0873333333333
132,1,600.3106689453125,644.456
133,7,601.885986328125,644.456
134,4,587.90869140625,644.456
135,7,607.378662109375,644.456
137,2,629.833984375,644.456
138,5,599.0339965820312,644.456
139,6,618.18798828125,644.456
140,6,625.2100219726562,644.456
141,6,636.1599731445312,621.0706666666666
142,2,635.5079956054688,644.456
143,3,603.6939697265625,644.456
144,6,606.8286743164062,644.456
146,3,275.6198425292969,1000000000000.0
147,9,597.969970703125,644.456
148,1,585.8953247070312,644.456
149,4,609.2340087890625,644.456
150,9,621.6253051757812,644.456
151,5,647.2659912109375,644.456
152,5,605.9539794921875,644.456
153,7,602.6493530273438,644.456
154,6,642.54736328125,644.456
156,4,581.885986328125,644.456
157,3,893.5,880.7626666666666
159,9,585.148681640625,644.456
160,5,627.4713134765625,644.456
162,6,596.4713134765625,644.456
164,8,455.69866943359375,484.50466666666665
165,4,645.11865234375,656.9013333333334
166,4,624.8833618164062,644.456
167,9,618.323974609375,644.456
168,5,601.4539794921875,644.456
169,8,673.8146362304688,644.456
170,6,603.1539916992188,644.456
171,1,631.5126953125,644.456
172,2,597.9940185546875,644.456
173,4,632.3733520507812,644.456
174,4,599.7906494140625,644.456
175,4,608.3666381835938,644.456
176,8,598.3733520507812,644.456
177,1,605.1893310546875,644.456
179,8,609.2420043945312,644.456
180,9,614.7073364257812,644.456
181,1,589.8300170898438,644.456
182,9,627.4940185546875,644.456
183,6,622.2173461914062,644.456
184,9,604.5786743164062,644.456
185,2,622.4326782226562,644.456
186,9,582.1420288085938,644.456
187,8,393.4939880371094,380.0353333333333
188,8,631.4906616210938,644.456
189,4,627.9273071289062,644.456
190,6,644.3773193359375,644.456
191,4,701.0873413085938,654.844
192,4,612.9393310546875,644.456
193,1,616.7726440429688,614.2046666666666
194,6,593.8720092773438,644.456
195,1,623.0746459960938,644.456
196,1,614.3053588867188,644.456
197,1,659.5360107421875,644.456
198,7,614.7559814453125,643.9946666666667
