instance,arm,run_seed,sol_id,att_default,sumo_seed,att
B_k9_3od_x1.0,init,8,S018,474.797,104,518.672
B_k9_3od_x1.0,init,8,S018,474.797,105,496.068
B_k9_3od_x1.0,init,8,S018,474.797,106,543.861
B_k9_3od_x1.0,init,8,S018,474.797,107,508.799
B_k9_3od_x1.0,init,8,S018,474.797,108,502.1405
B_k9_3od_x1.0,init,8,S018,474.797,109,503.848
B_k9_3od_x1.0,init,8,S018,474.797,110,525.927
B_k9_3od_x1.0,init,9,S019,481.447,101,495.1105
B_k9_3od_x1.0,init,9,S019,481.447,102,521.713
B_k9_3od_x1.0,init,9,S019,481.447,103,531.435
B_k9_3od_x1.0,init,9,S019,481.447,104,497.3755
B_k9_3od_x1.0,init,9,S019,481.447,105,510.734
B_k9_3od_x1.0,init,9,S019,481.447,106,554.403
B_k9_3od_x1.0,init,9,S019,481.447,107,537.177
B_k9_3od_x1.0,init,9,S019,481.447,108,524.0165
B_k9_3od_x1.0,init,9,S019,481.447,109,537.512
B_k9_3od_x1.0,init,9,S019,481.447,110,513.3525
B_k9_3od_x1.0,mutation,0,S020,470.0685,101,494.2475
B_k9_3od_x1.0,mutation,0,S020,470.0685,102,516.7735
B_k9_3od_x1.0,mutation,0,S020,470.0685,103,504.1825
B_k9_3od_x1.0,mutation,0,S020,470.0685,104,500.09
B_k9_3od_x1.0,mutation,0,S020,470.0685,105,514.652
B_k9_3od_x1.0,mutation,0,S020,470.0685,106,521.19
B_k9_3od_x1.0,mutation,0,S020,470.0685,107,524.616
B_k9_3od_x1.0,mutation,0,S020,470.0685,108,508.837
B_k9_3od_x1.0,mutation,0,S020,470.0685,109,496.535
B_k9_3od_x1.0,mutation,0,S020,470.0685,110,503.379
B_k9_3od_x1.0,mutation,1,S021,480.5015,101,486.105
B_k9_3od_x1.0,mutation,1,S021,480.5015,102,490.436
B_k9_3od_x1.0,mutation,1,S021,480.5015,103,486.17
B_k9_3od_x1.0,mutation,1,S021,480.5015,104,519.3205
B_k9_3od_x1.0,mutation,1,S021,480.5015,105,477.657
B_k9_3od_x1.0,mutation,1,S021,480.5015,106,514.138
B_k9_3od_x1.0,mutation,1,S021,480.5015,107,519.0165
B_k9_3od_x1.0,mutation,1,S021,480.5015,108,506.831
B_k9_3od_x1.0,mutation,1,S021,480.5015,109,498.119
B_k9_3od_x1.0,mutation,1,S021,480.5015,110,504.1915
B_k9_3od_x1.0,mutation,2,S022,473.8005,101,498.3515
B_k9_3od_x1.0,mutation,2,S022,473.8005,102,500.982
B_k9_3od_x1.0,mutation,2,S022,473.8005,103,498.3725
B_k9_3od_x1.0,mutation,2,S022,473.8005,104,504.58
B_k9_3od_x1.0,mutation,2,S022,473.8005,105,499.4475
B_k9_3od_x1.0,mutation,2,S022,473.8005,106,520.656
B_k9_3od_x1.0,mutation,2,S022,473.8005,107,524.0125
B_k9_3od_x1.0,mutation,2,S022,473.8005,108,512.19
B_k9_3od_x1.0,mutation,2,S022,473.8005,109,502.0485
B_k9_3od_x1.0,mutation,2,S022,473.8005,110,501.5685
B_k9_3od_x1.0,mutation,3,S023,478.6265,101,520.7525
B_k9_3od_x1.0,mutation,3,S023,478.6265,102,518.375
B_k9_3od_x1.0,mutation,3,S023,478.6265,103,526.2655
B_k9_3od_x1.0,mutation,3,S023,478.6265,104,517.1085
B_k9_3od_x1.0,mutation,3,S023,478.6265,105,486.436
B_k9_3od_x1.0,mutation,3,S023,478.6265,106,515.4565
B_k9_3od_x1.0,mutation,3,S023,478.6265,107,509.156
B_k9_3od_x1.0,mutation,3,S023,478.6265,108,514.544
B_k9_3od_x1.0,mutation,3,S023,478.6265,109,500.5315
B_k9_3od_x1.0,mutation,3,S023,478.6265,110,528.0545
