eval,k,score,accepted,best_score,temp,closed_edges,run_dir
312,8,486.312500,0,472.803000,0.2863,"-E11,E16,E17,E34,E40,E47,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0311
313,8,522.354500,0,472.803000,0.2837,"-E11,E13,E16,E34,E39,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0312
314,8,496.798500,0,472.803000,0.2812,"-E11,E13,E16,E17,E27,E34,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0313
315,9,502.551500,0,472.803000,0.2787,"-E11,E13,E16,E17,E26,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0314
316,7,472.803000,1,472.803000,0.2762,"-E11,E13,E16,E17,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0315
317,6,494.448500,0,472.803000,0.2737,"-E11,E13,E16,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0316
318,6,499.568000,0,472.803000,0.2713,"-E11,E13,E16,E17,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0317
319,7,494.448500,0,472.803000,0.2689,"-E11,E13,E16,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0318
320,8,497.719000,0,472.803000,0.2665,"-E11,E13,E16,E17,E19,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0319
321,7,500.358500,0,472.803000,0.2641,"-E11,-E63,E13,E16,E17,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0320
322,7,472.803000,1,472.803000,0.2617,"-E11,E13,E16,E17,E40,E6,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0321
323,7,472.803000,1,472.803000,0.2594,"-E11,-E46,E13,E16,E17,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0322
324,6,472.803000,1,472.803000,0.2571,"-E11,-E46,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0323
325,6,485.831000,0,472.803000,0.2548,"-E11,-E46,E16,E25,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0324
326,5,485.831000,0,472.803000,0.2525,"-E11,-E46,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0325
327,6,483.280000,0,472.803000,0.2503,"-E11,-E46,E13,E16,E40,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0326
328,6,494.448500,0,472.803000,0.2480,"-E11,-E38,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0327
329,6,498.842500,0,472.803000,0.2458,"-E46,E13,E16,E40,E6,E62",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0328
330,6,485.831000,0,472.803000,0.2436,"-E11,-E46,E16,E22,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0329
331,6,513.364000,0,472.803000,0.2414,"-E11,-E46,E13,E40,E46,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0330
332,6,484.507500,0,472.803000,0.2393,"-E11,-E12,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0331
333,7,487.623500,0,472.803000,0.2371,"-E11,-E30,-E46,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0332
334,6,483.280000,0,472.803000,0.2350,"-E11,-E46,E13,E16,E40,E43",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0333
335,6,507.807500,0,472.803000,0.2329,"-E11,E13,E16,E40,E6,E8",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0334
336,7,502.458000,0,472.803000,0.2309,"-E11,-E46,-E7,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0335
337,6,494.445000,0,472.803000,0.2288,"-E11,E13,E16,E40,E51,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0336
338,5,497.012500,0,472.803000,0.2247,"-E11,-E46,E13,E16,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0337
