gen,best_pred,mean_pred
93,-270.216250,-297.915760
94,-270.216250,-297.345816
95,-270.216250,-297.545134
96,-270.216250,-297.192871
97,-270.216250,-299.310932
98,-270.216250,-297.389732
99,-270.216250,-297.649515
100,-270.216250,-296.953914
101,-270.216250,-296.921578
102,-270.216250,-295.423299
103,-270.216250,-296.766060
104,-270.216250,-295.841306
105,-270.216250,-296.610462
106,-270.216250,-299.716890
107,-270.216250,-296.674633
108,-270.216250,-300.545437
109,-270.216250,-299.751655
110,-270.216250,-298.311944
111,-270.216250,-296.238121
112,-270.216250,-298.339595
113,-270.216250,-296.292812
114,-270.216250,-297.809216
115,-270.216250,-299.201929
116,-270.216250,-301.425947
117,-270.216250,-296.969113
118,-270.216250,-297.890627
119,-270.216250,-297.228501
120,-270.216250,-297.727521
121,-270.216250,-300.325175
122,-270.216250,-298.912910
123,-270.216250,-296.696684
124,-270.216250,-298.998006
125,-270.216250,-299.709030
126,-270.216250,-296.940446
127,-270.216250,-297.276748
128,-270.216250,-300.315491
129,-270.216250,-297.357568
130,-270.216250,-295.242969
131,-270.216250,-297.420728
132,-270.216250,-296.687993
133,-270.216250,-297.330481
134,-270.216250,-298.977940
135,-270.216250,-296.941098
136,-270.216250,-297.203355
137,-270.216250,-299.436960
138,-270.216250,-41666953.445567
139,-270.216250,-298.926766
140,-270.216250,-300.309479
141,-270.216250,-302.238027
142,-270.216250,-299.453752
143,-270.216250,-299.552579
144,-270.216250,-298.754508
145,-270.216250,-298.601806
146,-270.216250,-296.838363
147,-270.216250,-301.371841
148,-270.216250,-300.057490
149,-270.216250,-297.264080
150,-270.216250,-297.823035
151,-270.216250,-297.594984
152,-270.216250,-299.003060
153,-270.216250,-298.262875
154,-270.216250,-300.013147
155,-270.216250,-300.784284
156,-270.216250,-297.482118
157,-270.216250,-301.258672
158,-270.216250,-298.200486
159,-270.216250,-298.298510
160,-270.216250,-293.637212
161,-270.216250,-294.291561
162,-270.216250,-296.375974
163,-270.216250,-296.578248
164,-270.216250,-299.039866
165,-270.216250,-297.328142
166,-270.216250,-297.324611
167,-270.216250,-298.707538
168,-270.216250,-299.770786
169,-270.216250,-298.359470
170,-270.216250,-298.449006
171,-270.216250,-296.356302
172,-270.216250,-298.473380
173,-270.216250,-300.727195
174,-270.216250,-296.447421
175,-270.216250,-298.860285
176,-270.216250,-299.553153
177,-270.216250,-299.380717
178,-270.216250,-299.385093
179,-270.216250,-297.111366
180,-270.216250,-297.597030
181,-270.216250,-294.287415
182,-270.216250,-297.555454
183,-270.216250,-297.527546
184,-270.216250,-299.960606
185,-270.216250,-299.339436
186,-270.216250,-298.020584
187,-270.216250,-295.970288
188,-270.216250,-298.460633
189,-270.216250,-294.770097
190,-270.216250,-292.131189
191,-270.216250,-294.462411
192,-270.216250,-294.859445
193,-270.216250,-298.674878
194,-270.216250,-297.125154
195,-270.216250,-296.819357
196,-270.216250,-296.506107
197,-270.216250,-296.532216
198,-270.216250,-296.543469
199,-270.216250,-294.555389
200,-270.216250,-297.206632
