instance_id,mode,n_seed_best_solutions,mean_pairwise_jaccard,median_pairwise_jaccard,min_pairwise_jaccard,max_pairwise_jaccard,n_unique_edges_in_seed_bests,total_edge_uses_in_seed_bests,edge_freq_hhi,edge_freq_entropy_norm,top1_edge_share,top3_edge_share
A_k4_2od_x1.2,both,10,0.23513227513227514,0.14285714285714285,0.14285714285714285,0.6,19,40,0.1075,0.8830671068263323,0.25,0.475
A_k4_2od_x1.2,init,10,0.22878306878306873,0.14285714285714285,0.14285714285714285,1.0,20,40,0.10375,0.886718332099043,0.25,0.45
A_k4_2od_x1.2,mutation,10,0.23301587301587307,0.14285714285714285,0.14285714285714285,1.0,19,40,0.10500000000000001,0.8880975185363267,0.25,0.45
A_k4_2od_x1.2,none,10,0.17841269841269838,0.14285714285714285,0.14285714285714285,0.6,23,40,0.09125000000000001,0.9044744188121733,0.25,0.35
A_k4_3od_x0.8,both,10,0.5022222222222221,0.3333333333333333,0.3333333333333333,1.0,8,40,0.16999999999999998,0.9104517904392737,0.25,0.625
A_k4_3od_x0.8,init,10,0.3820105820105819,0.3333333333333333,0.14285714285714285,1.0,13,40,0.14499999999999993,0.8621863383132082,0.25,0.575
A_k4_3od_x0.8,mutation,10,0.5140740740740741,0.6,0.3333333333333333,1.0,9,40,0.17375,0.8664825891370495,0.25,0.65
A_k4_3od_x0.8,none,10,0.34285714285714286,0.3333333333333333,0.0,0.6,14,40,0.13499999999999993,0.8591136527631508,0.225,0.575
A_k4_3od_x1.0,both,10,0.39936507936507937,0.3333333333333333,0.14285714285714285,1.0,13,40,0.14624999999999994,0.852250525956846,0.25,0.6
A_k4_3od_x1.0,init,10,0.3760846560846561,0.3333333333333333,0.14285714285714285,1.0,14,40,0.14124999999999993,0.8463023907145995,0.25,0.575
A_k4_3od_x1.0,mutation,10,0.37354497354497346,0.3333333333333333,0.14285714285714285,1.0,11,40,0.14249999999999996,0.8877038002168534,0.225,0.575
A_k4_3od_x1.0,none,10,0.3079365079365079,0.3333333333333333,0.0,1.0,16,40,0.125,0.8623954425369588,0.225,0.55
A_k4_3od_x1.2,both,10,0.3299470899470899,0.3333333333333333,0.14285714285714285,0.6,13,40,0.12999999999999995,0.8852235297954818,0.25,0.525
A_k4_3od_x1.2,init,10,0.27597883597883593,0.3333333333333333,0.0,0.6,16,40,0.115,0.8779593487599154,0.225,0.5
A_k4_3od_x1.2,mutation,10,0.28656084656084657,0.3333333333333333,0.0,1.0,16,40,0.12,0.8692917115854603,0.225,0.525
A_k4_3od_x1.2,none,10,0.25904761904761897,0.14285714285714285,0.0,1.0,15,40,0.11,0.904352485149685,0.225,0.475
B_k9_1od_x0.8,both,10,0.1924136321195145,0.2,0.0,0.5,43,90,0.042222222222222223,0.9182441513278367,0.1,0.24444444444444444
B_k9_1od_x0.8,init,10,0.07695378151260504,0.058823529411764705,0.0,0.21428571428571427,53,88,0.025309917355371896,0.9649521431529919,0.06818181818181818,0.14772727272727273
B_k9_1od_x0.8,mutation,10,0.17634130575307047,0.2,0.058823529411764705,0.38461538461538464,40,90,0.040246913580246915,0.9317019809362733,0.07777777777777778,0.2222222222222222
B_k9_1od_x0.8,none,10,0.07346082022552611,0.058823529411764705,0.0,0.2,54,87,0.02523450918219052,0.9642211844999905,0.06896551724137931,0.16091954022988506
B_k9_1od_x1.0,both,10,0.1197935071464483,0.125,0.0,0.38461538461538464,51,90,0.031358024691358025,0.9451029656060458,0.08888888888888889,0.2
B_k9_1od_x1.0,init,10,0.0992933863522099,0.07692307692307693,0.0,0.2727272727272727,50,86,0.029745808545159548,0.9538426920814407,0.08139534883720931,0.18604651162790697
B_k9_1od_x1.0,mutation,10,0.11883286647992532,0.125,0.0,0.2857142857142857,50,90,0.03185185185185185,0.9483239383426074,0.1,0.2
B_k9_1od_x1.0,none,10,0.08094771241830065,0.058823529411764705,0.0,0.2,55,90,0.025679012345679018,0.9592289086635284,0.06666666666666667,0.15555555555555556
B_k9_1od_x1.2,both,10,0.1592296918767507,0.125,0.058823529411764705,0.2857142857142857,47,90,0.03802469135802467,0.9301786527229129,0.1111111111111111,0.24444444444444444
B_k9_1od_x1.2,init,10,0.11371537503890446,0.125,0.0,0.2857142857142857,50,89,0.031182931448049477,0.9489742004949653,0.07865168539325842,0.21348314606741572
B_k9_1od_x1.2,mutation,10,0.1476179702650291,0.125,0.058823529411764705,0.38461538461538464,49,90,0.03629629629629629,0.9380675659173953,0.1111111111111111,0.23333333333333334
B_k9_1od_x1.2,none,10,0.09739028944911297,0.07142857142857142,0.0,0.2857142857142857,49,87,0.02946228035407584,0.954046886350244,0.06896551724137931,0.1839080459770115
B_k9_2od_x0.8,both,10,0.1522829131652661,0.125,0.058823529411764705,0.2857142857142857,50,90,0.037037037037037035,0.9300542264261169,0.1111111111111111,0.24444444444444444
B_k9_2od_x0.8,init,10,0.11128233059605608,0.125,0.058823529411764705,0.2222222222222222,52,83,0.03353171723036725,0.9450847853814891,0.12048192771084337,0.21686746987951808
B_k9_2od_x0.8,mutation,10,0.1373098578980932,0.125,0.058823529411764705,0.2857142857142857,48,86,0.03623580313683072,0.9370165763581815,0.11627906976744186,0.22093023255813954
B_k9_2od_x0.8,none,10,0.12693169575522517,0.125,0.058823529411764705,0.38461538461538464,51,90,0.03308641975308641,0.94323306500047,0.1111111111111111,0.2
B_k9_2od_x1.0,both,10,0.14539933922286863,0.125,0.0,0.38461538461538464,42,90,0.03555555555555555,0.9457540962004097,0.08888888888888889,0.2
B_k9_2od_x1.0,init,10,0.10865438483085542,0.125,0.058823529411764705,0.38461538461538464,56,90,0.03012345679012346,0.9490416403365411,0.1111111111111111,0.18888888888888888
B_k9_2od_x1.0,mutation,10,0.14498958557782088,0.125,0.0,0.38461538461538464,45,90,0.03555555555555554,0.9380310556871135,0.08888888888888889,0.2111111111111111
B_k9_2od_x1.0,none,10,0.12004201680672266,0.125,0.058823529411764705,0.2857142857142857,52,90,0.032098765432098754,0.947155163595177,0.1111111111111111,0.2111111111111111
B_k9_2od_x1.2,both,10,0.0940641384759032,0.058823529411764705,0.0,0.38461538461538464,48,90,0.027160493827160494,0.9633560726481297,0.044444444444444446,0.13333333333333333
B_k9_2od_x1.2,init,10,0.0865032679738562,0.058823529411764705,0.0,0.2,52,90,0.026419753086419754,0.960000352917075,0.05555555555555555,0.15555555555555556
B_k9_2od_x1.2,mutation,10,0.13887847446670976,0.125,0.0,0.38461538461538464,40,90,0.034567901234567905,0.9523566910300608,0.06666666666666667,0.17777777777777778
B_k9_2od_x1.2,none,10,0.0630718954248366,0.058823529411764705,0.0,0.125,57,90,0.022716049382716052,0.9681262964902849,0.044444444444444446,0.12222222222222222
B_k9_3od_x0.8,both,10,0.146840000957648,0.125,0.0,0.38461538461538464,42,86,0.03758788534342888,0.9388904271838577,0.09302325581395349,0.22093023255813954
B_k9_3od_x0.8,init,10,0.09812324929971987,0.058823529411764705,0.0,0.2857142857142857,54,90,0.028395061728395066,0.9492673634187928,0.06666666666666667,0.17777777777777778
B_k9_3od_x0.8,mutation,10,0.12050312432665373,0.125,0.0,0.38461538461538464,47,90,0.03135802469135803,0.9480727985991646,0.05555555555555555,0.16666666666666666
B_k9_3od_x0.8,none,10,0.08732385261797027,0.058823529411764705,0.0,0.38461538461538464,54,90,0.026172839506172843,0.9607210567047954,0.07777777777777778,0.16666666666666666
B_k9_3od_x1.0,both,10,0.18511814982403219,0.125,0.0,0.5,42,90,0.041234567901234566,0.9291891712298743,0.1,0.25555555555555554
B_k9_3od_x1.0,init,10,0.10631652661064425,0.125,0.0,0.2857142857142857,49,90,0.029629629629629634,0.9530436964835133,0.07777777777777778,0.16666666666666666
B_k9_3od_x1.0,mutation,10,0.15331465919701212,0.125,0.0,0.2857142857142857,49,90,0.03703703703703704,0.9284977996077118,0.1,0.24444444444444444
B_k9_3od_x1.0,none,10,0.09519996343525755,0.058823529411764705,0.0,0.36363636363636365,49,87,0.028405337561104506,0.9588874717489968,0.06896551724137931,0.1724137931034483
B_k9_3od_x1.2,both,10,0.09400560224089637,0.058823529411764705,0.0,0.2857142857142857,46,90,0.027654320987654323,0.9660185109874944,0.044444444444444446,0.13333333333333333
B_k9_3od_x1.2,init,10,0.052973856209150315,0.058823529411764705,0.0,0.2,58,90,0.02074074074074074,0.9772939195443662,0.044444444444444446,0.1111111111111111
B_k9_3od_x1.2,mutation,10,0.08023809523809522,0.058823529411764705,0.0,0.2857142857142857,52,90,0.0254320987654321,0.9662752703075675,0.06666666666666667,0.15555555555555556
B_k9_3od_x1.2,none,10,0.07801587301587301,0.058823529411764705,0.0,0.2857142857142857,57,90,0.024938271604938275,0.9590686795578427,0.06666666666666667,0.15555555555555556
C_k9_1od_x0.8,both,10,0.1380252100840336,0.125,0.058823529411764705,0.5,50,90,0.0345679012345679,0.9390907793538416,0.1111111111111111,0.2222222222222222
C_k9_1od_x0.8,init,10,0.12739495798319325,0.125,0.058823529411764705,0.2857142857142857,52,90,0.033333333333333326,0.9414642097528068,0.1111111111111111,0.2111111111111111
C_k9_1od_x0.8,mutation,10,0.12717086834733893,0.125,0.058823529411764705,0.2857142857142857,48,90,0.032839506172839504,0.9499688228037052,0.1111111111111111,0.17777777777777778
C_k9_1od_x0.8,none,10,0.1327871148459384,0.125,0.058823529411764705,0.2857142857142857,51,90,0.03407407407407407,0.9397573079558541,0.1111111111111111,0.2222222222222222
C_k9_1od_x1.0,both,10,0.10869281045751633,0.125,0.0,0.2,55,90,0.030370370370370377,0.9453046323747444,0.1,0.2
C_k9_1od_x1.0,init,10,0.11011671335200747,0.125,0.0,0.2857142857142857,54,90,0.030370370370370377,0.9472490180322287,0.1,0.2
C_k9_1od_x1.0,mutation,10,0.13747899159663865,0.125,0.058823529411764705,0.2857142857142857,49,90,0.03481481481481481,0.9427151110083759,0.1111111111111111,0.2222222222222222
C_k9_1od_x1.0,none,10,0.11241099858746918,0.125,0.0,0.2857142857142857,52,86,0.03217955651703623,0.9430856517464867,0.08139534883720931,0.23255813953488372
C_k9_1od_x1.2,both,10,0.20159556130144357,0.2,0.058823529411764705,0.5,45,90,0.0439506172839506,0.9157039179633122,0.1111111111111111,0.28888888888888886
C_k9_1od_x1.2,init,10,0.10595238095238094,0.058823529411764705,0.0,0.2857142857142857,53,90,0.02938271604938272,0.949049548012672,0.08888888888888889,0.17777777777777778
C_k9_1od_x1.2,mutation,10,0.18362529627235508,0.2,0.058823529411764705,0.38461538461538464,44,90,0.04123456790123456,0.923249524604481,0.08888888888888889,0.26666666666666666
C_k9_1od_x1.2,none,10,0.11370214752567694,0.125,0.0,0.2857142857142857,50,90,0.030864197530864203,0.9481727850231118,0.07777777777777778,0.2
C_k9_2od_x0.8,both,10,0.08555555555555555,0.058823529411764705,0.0,0.2,50,90,0.026172839506172836,0.9649190921590963,0.05555555555555555,0.14444444444444443
C_k9_2od_x0.8,init,10,0.07464052287581699,0.058823529411764705,0.0,0.2,56,90,0.024444444444444446,0.9659032257467434,0.07777777777777778,0.14444444444444443
C_k9_2od_x0.8,mutation,10,0.09534583063994828,0.058823529411764705,0.0,0.38461538461538464,48,87,0.028933808957590172,0.9577803709466784,0.06896551724137931,0.1724137931034483
C_k9_2od_x0.8,none,10,0.08856029591323708,0.058823529411764705,0.0,0.2857142857142857,52,87,0.027348394768133177,0.9595247884575177,0.08045977011494253,0.1724137931034483
C_k9_2od_x1.0,both,10,0.07487598458186695,0.058823529411764705,0.0,0.2,51,86,0.02568956192536506,0.9666087091419532,0.05813953488372093,0.1511627906976744
C_k9_2od_x1.0,init,10,0.09813725490196078,0.058823529411764705,0.0,0.5,53,90,0.027901234567901233,0.954362461394852,0.07777777777777778,0.17777777777777778
C_k9_2od_x1.0,mutation,10,0.07223155929038282,0.058823529411764705,0.0,0.2857142857142857,47,83,0.026273769777906814,0.9708230453803105,0.04819277108433735,0.12048192771084337
C_k9_2od_x1.0,none,10,0.08022875816993465,0.058823529411764705,0.0,0.2,52,90,0.0254320987654321,0.9638483376509046,0.044444444444444446,0.13333333333333333
C_k9_2od_x1.2,both,10,0.07451914098972921,0.058823529411764705,0.0,0.2857142857142857,56,90,0.024444444444444442,0.9637921038972012,0.06666666666666667,0.15555555555555556
C_k9_2od_x1.2,init,10,0.07444444444444444,0.058823529411764705,0.0,0.2,56,90,0.024444444444444446,0.9614098518228966,0.044444444444444446,0.13333333333333333
C_k9_2od_x1.2,mutation,10,0.0656385118149824,0.058823529411764705,0.0,0.38461538461538464,54,90,0.022716049382716052,0.9735255051810903,0.044444444444444446,0.1111111111111111
C_k9_2od_x1.2,none,10,0.050007541478129705,0.058823529411764705,0.0,0.2,57,86,0.02136289886425095,0.9755715956688313,0.03488372093023256,0.10465116279069768
C_k9_3od_x0.8,both,10,0.10126050420168067,0.058823529411764705,0.0,0.2857142857142857,55,90,0.028888888888888895,0.9517332968598701,0.1,0.17777777777777778
C_k9_3od_x0.8,init,10,0.06620915032679738,0.058823529411764705,0.0,0.2,57,90,0.023209876543209877,0.9664980718495978,0.05555555555555555,0.13333333333333333
C_k9_3od_x0.8,mutation,10,0.0596512964160023,0.058823529411764705,0.0,0.25,53,87,0.022592152199762187,0.9767875618868326,0.04597701149425287,0.11494252873563218
C_k9_3od_x0.8,none,10,0.06978057889822596,0.058823529411764705,0.0,0.2857142857142857,58,90,0.023703703703703706,0.9628603526042546,0.05555555555555555,0.14444444444444443
C_k9_3od_x1.0,both,10,0.12416900093370682,0.125,0.0,0.2857142857142857,52,90,0.03259259259259258,0.942532833915395,0.1,0.2111111111111111
C_k9_3od_x1.0,init,10,0.07322803195352215,0.058823529411764705,0.0,0.2,50,82,0.026769779892920884,0.9654140031091388,0.07317073170731707,0.15853658536585366
C_k9_3od_x1.0,mutation,10,0.17068878833584716,0.2,0.0,0.38461538461538464,47,90,0.03925925925925924,0.9248676845147645,0.1,0.25555555555555554
C_k9_3od_x1.0,none,10,0.08222222222222221,0.058823529411764705,0.0,0.2,55,90,0.025679012345679018,0.9597375596837512,0.06666666666666667,0.16666666666666666
C_k9_3od_x1.2,both,10,0.09024743230625584,0.058823529411764705,0.0,0.2857142857142857,47,83,0.030047902453186243,0.9580754241986547,0.08433734939759036,0.18072289156626506
C_k9_3od_x1.2,init,10,0.09654528478057889,0.058823529411764705,0.0,0.2857142857142857,54,90,0.028148148148148155,0.957568706134901,0.1,0.16666666666666666
C_k9_3od_x1.2,mutation,10,0.13051820728291316,0.125,0.058823529411764705,0.2857142857142857,49,90,0.03358024691358024,0.9444894125546366,0.1111111111111111,0.2
C_k9_3od_x1.2,none,10,0.11045643898585074,0.07142857142857142,0.0,0.38461538461538464,52,87,0.03157616594001849,0.9464435611850662,0.10344827586206896,0.20689655172413793
D_k9_1od_x0.8,both,10,0.11205882352941177,0.125,0.058823529411764705,0.2,53,90,0.0308641975308642,0.950563999233222,0.1111111111111111,0.18888888888888888
D_k9_1od_x0.8,init,10,0.09036881419234359,0.058823529411764705,0.0,0.2857142857142857,57,90,0.026913580246913583,0.9535509326944038,0.07777777777777778,0.17777777777777778
D_k9_1od_x0.8,mutation,10,0.11439775910364144,0.125,0.058823529411764705,0.2857142857142857,52,90,0.031111111111111117,0.9481787861878167,0.1,0.2
D_k9_1od_x0.8,none,10,0.09621848739495797,0.058823529411764705,0.0,0.2857142857142857,55,90,0.028148148148148155,0.9560857187788724,0.1,0.17777777777777778
D_k9_1od_x1.0,both,10,0.11981325863678803,0.125,0.0,0.2857142857142857,50,90,0.03185185185185185,0.9488449818309033,0.1,0.2111111111111111
D_k9_1od_x1.0,init,10,0.11268332974215328,0.125,0.0,0.38461538461538464,53,90,0.030370370370370374,0.9482665840166735,0.1,0.18888888888888888
D_k9_1od_x1.0,mutation,10,0.12520445785151668,0.125,0.0,0.2857142857142857,50,88,0.03357438016528926,0.9414137999995202,0.10227272727272728,0.2159090909090909
D_k9_1od_x1.0,none,10,0.10664799253034547,0.125,0.0,0.2857142857142857,52,88,0.030475206611570244,0.948692080543673,0.09090909090909091,0.20454545454545456
D_k9_1od_x1.2,both,10,0.12310816634346047,0.125,0.058823529411764705,0.38461538461538464,52,90,0.03234567901234567,0.9449228854545548,0.1111111111111111,0.2
D_k9_1od_x1.2,init,10,0.12147058823529411,0.125,0.058823529411764705,0.2,52,90,0.03234567901234567,0.9414642097528068,0.1,0.2111111111111111
D_k9_1od_x1.2,mutation,10,0.14621381886087767,0.125,0.0,0.2857142857142857,45,90,0.03604938271604937,0.9389437712444477,0.1,0.2222222222222222
D_k9_1od_x1.2,none,10,0.08759103641456584,0.058823529411764705,0.0,0.2857142857142857,58,90,0.026666666666666672,0.9552733623969781,0.08888888888888889,0.17777777777777778
D_k9_2od_x0.8,both,10,0.12326330532212884,0.125,0.0,0.2857142857142857,44,90,0.03234567901234567,0.9544798370453139,0.08888888888888889,0.17777777777777778
D_k9_2od_x0.8,init,10,0.08436507936507935,0.058823529411764705,0.0,0.2857142857142857,51,90,0.025925925925925925,0.9647415014361344,0.05555555555555555,0.15555555555555556
D_k9_2od_x0.8,mutation,10,0.10258169934640524,0.125,0.0,0.2,51,90,0.029135802469135805,0.955181443148302,0.08888888888888889,0.18888888888888888
D_k9_2od_x0.8,none,10,0.08717553688141924,0.058823529411764705,0.0,0.2857142857142857,52,90,0.026419753086419757,0.9611505380001757,0.06666666666666667,0.15555555555555556
D_k9_2od_x1.0,both,10,0.12030704589528121,0.125,0.0,0.38461538461538464,48,90,0.031604938271604946,0.9471583921225218,0.07777777777777778,0.18888888888888888
D_k9_2od_x1.0,init,10,0.05984593837535014,0.058823529411764705,0.0,0.2,56,87,0.02285638789800502,0.9703735646532358,0.04597701149425287,0.13793103448275862
D_k9_2od_x1.0,mutation,10,0.1380672268907563,0.125,0.058823529411764705,0.2857142857142857,41,90,0.03481481481481482,0.9480039946510865,0.06666666666666667,0.18888888888888888
D_k9_2od_x1.0,none,10,0.058342670401493914,0.058823529411764705,0.0,0.2857142857142857,58,90,0.021481481481481483,0.972998426479484,0.044444444444444446,0.1111111111111111
D_k9_2od_x1.2,both,10,0.1059746462687639,0.125,0.0,0.38461538461538464,50,90,0.029382716049382716,0.9547895974489436,0.08888888888888889,0.17777777777777778
D_k9_2od_x1.2,init,10,0.1072642390289449,0.125,0.0,0.2857142857142857,52,90,0.029876543209876545,0.9497767507678806,0.08888888888888889,0.2
D_k9_2od_x1.2,mutation,10,0.08926596279537456,0.058823529411764705,0.0,0.38461538461538464,50,90,0.026666666666666665,0.9636295443156273,0.06666666666666667,0.15555555555555556
D_k9_2od_x1.2,none,10,0.07562091503267973,0.058823529411764705,0.0,0.2,52,90,0.024691358024691357,0.967991676925647,0.05555555555555555,0.13333333333333333
D_k9_3od_x0.8,both,10,0.15647777059541765,0.125,0.0,0.38461538461538464,42,90,0.03728395061728395,0.9359234436068735,0.07777777777777778,0.2111111111111111
D_k9_3od_x0.8,init,10,0.08444444444444445,0.058823529411764705,0.0,0.2,56,90,0.02592592592592593,0.9589969634430059,0.07777777777777778,0.16666666666666666
D_k9_3od_x0.8,mutation,10,0.14067945126768655,0.125,0.0,0.38461538461538464,41,90,0.0345679012345679,0.9500852469692791,0.07777777777777778,0.18888888888888888
D_k9_3od_x0.8,none,10,0.12110069668893197,0.125,0.0,0.38461538461538464,48,90,0.031604938271604946,0.9489935352533119,0.08888888888888889,0.2
D_k9_3od_x1.0,both,10,0.1314181570063923,0.125,0.0,0.38461538461538464,49,90,0.03333333333333333,0.9405315549201031,0.08888888888888889,0.2111111111111111
D_k9_3od_x1.0,init,10,0.10083566760037349,0.058823529411764705,0.0,0.2857142857142857,53,90,0.028641975308641977,0.9528981186234287,0.07777777777777778,0.2
D_k9_3od_x1.0,mutation,10,0.13495582848524024,0.125,0.058823529411764705,0.38461538461538464,48,90,0.034074074074074076,0.9405091203705109,0.1,0.2111111111111111
D_k9_3od_x1.0,none,10,0.10897292250233426,0.125,0.0,0.2857142857142857,54,90,0.030123456790123463,0.9426338886706122,0.06666666666666667,0.2
D_k9_3od_x1.2,both,10,0.15148459383753501,0.125,0.058823529411764705,0.2857142857142857,46,90,0.03679012345679011,0.9365064868025907,0.1,0.24444444444444444
D_k9_3od_x1.2,init,10,0.13003734827264238,0.125,0.0,0.2857142857142857,50,90,0.033333333333333326,0.9425332758453213,0.08888888888888889,0.2222222222222222
D_k9_3od_x1.2,mutation,10,0.16557207498383966,0.125,0.058823529411764705,0.38461538461538464,46,90,0.038765432098765415,0.9283434340429821,0.1,0.24444444444444444
D_k9_3od_x1.2,none,10,0.10972455648926238,0.125,0.0,0.2857142857142857,51,90,0.030370370370370374,0.9526659357443583,0.1,0.18888888888888888
J_k9_6od_x0.8,both,10,0.042919389978213505,0.058823529411764705,0.0,0.125,69,83,0.020467411815938454,0.9733125431736112,0.08433734939759036,0.13253012048192772
J_k9_6od_x0.8,init,10,0.07176462970580616,0.06666666666666667,0.058823529411764705,0.16666666666666666,69,79,0.027399455215510325,0.9589823379981434,0.12658227848101267,0.16455696202531644
J_k9_6od_x0.8,mutation,10,0.035784313725490194,0.058823529411764705,0.0,0.125,78,90,0.01777777777777778,0.976893716888759,0.07777777777777778,0.12222222222222222
J_k9_6od_x0.8,none,10,0.03790849673202614,0.058823529411764705,0.0,0.058823529411764705,82,90,0.01827160493827161,0.9756843833813696,0.08888888888888889,0.12222222222222222
J_k9_6od_x1.0,both,10,0.07715686274509802,0.058823529411764705,0.058823529411764705,0.2,69,85,0.026712802768166094,0.9554038730986314,0.11764705882352941,0.18823529411764706
J_k9_6od_x1.0,init,10,0.058823529411764684,0.058823529411764705,0.058823529411764705,0.058823529411764705,81,90,0.022222222222222227,0.9657562831754187,0.1111111111111111,0.13333333333333333
J_k9_6od_x1.0,mutation,10,0.03872549019607844,0.058823529411764705,0.0,0.125,77,90,0.018271604938271607,0.9749111502228665,0.07777777777777778,0.13333333333333333
J_k9_6od_x1.0,none,10,0.0380718954248366,0.058823529411764705,0.0,0.125,82,90,0.01827160493827161,0.9756843833813696,0.08888888888888889,0.12222222222222222
J_k9_6od_x1.2,both,10,0.0580065359477124,0.058823529411764705,0.0,0.125,75,89,0.02209317005428607,0.965169508592303,0.10112359550561797,0.15730337078651685
J_k9_6od_x1.2,init,10,0.0428322440087146,0.058823529411764705,0.0,0.13333333333333333,78,89,0.019315742961747248,0.9730774031953304,0.0898876404494382,0.1348314606741573
J_k9_6od_x1.2,mutation,10,0.05277777777777778,0.058823529411764705,0.0,0.125,78,90,0.02098765432098766,0.968270843357135,0.1,0.14444444444444443
J_k9_6od_x1.2,none,10,0.04999999999999998,0.058823529411764705,0.0,0.125,80,90,0.020493827160493833,0.9697067191730255,0.1,0.14444444444444443
