instance_id,mode,gen1_n,gen1_unique_closed_edges,gen1_best_ATT,gen1_mean_ATT,gen1_unique_ratio,none_gen1_unique_ratio,none_gen1_best_ATT,none_gen1_mean_ATT,mean_ATT,mean_reduction_vs_none_%,delta_gen1_unique_ratio_vs_none,delta_gen1_best_ATT_vs_none,delta_gen1_mean_ATT_vs_none
A_k4_2od_x1.0,mutation,240,176,263.804,310.69665833333335,0.7333333333333333,0.7333333333333333,263.804,310.69665833333335,239.863,1.0623720810134825,0.0,0.0,0.0
A_k4_2od_x1.2,both,240,134,324.04,377.2279583333333,0.5583333333333333,0.7333333333333333,337.39416666666665,405.66136111111115,311.0399166666666,1.353441046555372,0.17499999999999993,13.354166666666629,28.43340277777787
A_k4_2od_x1.2,init,240,134,324.04,377.2279583333333,0.5583333333333333,0.7333333333333333,337.39416666666665,405.66136111111115,314.57325000000003,0.2328415469664523,0.17499999999999993,13.354166666666629,28.43340277777787
A_k4_2od_x1.2,mutation,240,176,337.39416666666665,405.66136111111115,0.7333333333333333,0.7333333333333333,337.39416666666665,405.66136111111115,314.26875,0.3294139661055577,0.0,0.0,0.0
A_k4_3od_x0.8,both,240,166,206.7675,235.152375,0.6916666666666667,0.7083333333333334,208.58375,238.78718229166668,183.782625,2.480275659882386,0.01666666666666672,1.8162499999999966,3.634807291666675
A_k4_3od_x0.8,init,240,166,206.7675,235.152375,0.6916666666666667,0.7083333333333334,208.58375,238.78718229166668,186.642375,0.9628197432436368,0.01666666666666672,1.8162499999999966,3.634807291666675
A_k4_3od_x0.8,mutation,240,170,208.58375,238.78718229166668,0.7083333333333334,0.7083333333333334,208.58375,238.78718229166668,184.317875,2.196258427823332,0.0,0.0,0.0
A_k4_3od_x1.0,both,240,166,264.694,304.59257083333335,0.6916666666666667,0.7083333333333334,253.104,304.88534583333336,235.3501,0.5012771851026345,0.01666666666666672,-11.590000000000003,0.292775000000006
A_k4_3od_x1.0,init,240,166,264.694,304.59257083333335,0.6916666666666667,0.7083333333333334,253.104,304.88534583333336,237.80990000000003,-0.5386499633459549,0.01666666666666672,-11.590000000000003,0.292775000000006
A_k4_3od_x1.0,mutation,240,170,253.104,304.88534583333336,0.7083333333333334,0.7083333333333334,253.104,304.88534583333336,234.308,0.9418447440091412,0.0,0.0,0.0
A_k4_3od_x1.2,both,240,165,330.2083333333333,389.3770798611111,0.6875,0.7083333333333334,332.0183333333333,391.5853368055556,307.08641666666665,-0.307643311235015,0.02083333333333337,1.8100000000000023,2.2082569444444857
A_k4_3od_x1.2,init,240,165,330.2083333333333,389.3770798611111,0.6875,0.7083333333333334,332.0183333333333,391.5853368055556,306.2894166666667,-0.0473088015330462,0.02083333333333337,1.8100000000000023,2.2082569444444857
A_k4_3od_x1.2,mutation,240,170,332.0183333333333,391.5853368055556,0.7083333333333334,0.7083333333333334,332.0183333333333,391.5853368055556,303.14575,0.9795480621220604,0.0,0.0,0.0
B_k9_1od_x0.8,both,240,207,617.978125,657.8898020833333,0.8625,0.9958333333333333,619.309375,662.4614817708333,613.0829999999999,1.0438121462969376,0.1333333333333333,1.3312500000000682,4.571679687500023
B_k9_1od_x0.8,init,240,207,617.978125,657.8898020833333,0.8625,0.9958333333333333,619.309375,662.4614817708333,620.7587500000001,-0.1951113908392793,0.1333333333333333,1.3312500000000682,4.571679687500023
B_k9_1od_x0.8,mutation,240,239,619.309375,662.4614817708333,0.9958333333333333,0.9958333333333333,619.309375,662.4614817708333,613.5594375000001,0.96691156554267,0.0,0.0,0.0
B_k9_1od_x1.0,both,240,210,616.625,661.5229833333334,0.875,0.9958333333333333,628.629,666.4599208333333,622.745,0.336322600830762,0.12083333333333335,12.004000000000019,4.936937499999885
B_k9_1od_x1.0,init,240,210,616.625,661.5229833333334,0.875,0.9958333333333333,628.629,666.4599208333333,625.8069499999999,-0.1537097511148615,0.12083333333333335,12.004000000000019,4.936937499999885
B_k9_1od_x1.0,mutation,240,239,628.629,666.4599208333333,0.9958333333333333,0.9958333333333333,628.629,666.4599208333333,623.77395,0.1716501572786241,0.0,0.0,0.0
B_k9_1od_x1.2,both,240,211,627.2904166666667,661.4492552083334,0.8791666666666667,0.9958333333333333,623.2129166666666,668.1165208333333,622.836,0.6527791614713025,0.1166666666666667,-4.0775000000001,6.667265624999914
B_k9_1od_x1.2,init,240,211,627.2904166666667,661.4492552083334,0.8791666666666667,0.9958333333333333,623.2129166666666,668.1165208333333,625.0705833333334,0.2963456157244824,0.1166666666666667,-4.0775000000001,6.667265624999914
B_k9_1od_x1.2,mutation,240,239,623.2129166666666,668.1165208333333,0.9958333333333333,0.9958333333333333,623.2129166666666,668.1165208333333,625.5248750000002,0.2238825363047814,0.0,0.0,0.0
B_k9_2od_x0.8,both,240,205,607.84125,643.9695937500001,0.8541666666666666,0.9916666666666667,602.8375,659.6083359375001,601.27525,0.025169321361526,0.13750000000000007,-5.003749999999968,15.638742187500043
B_k9_2od_x0.8,init,240,205,607.84125,643.9695937500001,0.8541666666666666,0.9916666666666667,602.8375,659.6083359375001,604.3020625,-0.4781027943350488,0.13750000000000007,-5.003749999999968,15.638742187500043
