edge_id,score
-835443464,0.0402918920
311298658,0.0415287640
-275267982,0.0013753821
280335872,0.0028431044
-28298231,0.0463377414
27149242,0.0032076049
-311298682#0,0.0465078416
311298682#1,0.0032440550
70018790#1,0.0029111445
876057377#1,0.0342679128
-28468730#0,0.0043667167
28468730#1,0.0151656534
575692603#1,0.0000000000
28468730#0,0.0163296251
58621262#1,0.0577806290
-28468730#1,0.0032805051
219798592,0.0029014245
62826731,0.0116518679
-28468732#0,0.0009525615
28468732#1,0.0132896905
-4894999,0.0006269410
28468732#0,0.0123225490
-28468732#1,0.0019974631
-4970256#4,0.0176321072
4894996#0,0.0125606893
4970256#5,0.0185214885
-311298658,0.0488649453
311298682#0,0.0406709726
70018790#0,0.0406709726
876057377#0,0.0406709726
332644488,0.0025296339
-311298662#0,0.0712768698
311298662#1,0.0041358664
-311298685,0.0521819004
-782714966#1,0.0496182464
311298662#0,0.0000000000
4877788#0,0.0371328872
-311298662#1,0.0439709177
835443464,0.0353468344
-311298665,0.0430062062
58621262#0,0.0698212975
-4970255#2,0.0132362304
311298685,0.0152579935
7924755,0.0411861334
-325795946#0,0.0027459042
-325795946#2,0.0014531422
325795946#1,0.0014531422
-325795946#1,0.0013753821
325795946#2,0.0013753821
-36269567,0.0013753821
-36851747#0,0.0001652403
36847354#4,0.0052390881
36851747#1,0.0001530902
-7924764#0,0.0053217082
36851747#0,0.0001652403
7924764#1,0.0053605883
-36851747#1,0.0041115663
36847354#3,0.0041115663
127624156,0.0073531913
36851747#2,0.0000486001
-36851747#2,0.0114380276
36847354#2,0.0114380276
-36851802,0.0000000000
-876343452#4,0.0171169464
876343452#5,0.0119167384
-876343452#2,0.0185384985
36851802,0.0000000000
876343452#3,0.0133261405
-36851858,0.0001773903
-876343449#4,0.0513435491
803012921#0,0.0391182002
803012922,0.0014555722
-876343452#5,0.0164098153
36851858,0.0001628103
876343452#6,0.0110905371
-36970994#2,0.0319180992
36970992,0.0153940737
-36974892,0.0014531422
-4924947#1,0.0047336473
4924947#2,0.0087091334
36974892,0.0013753821
-36974893,0.0014531422
-4924947#3,0.0027459042
36974893,0.0013753821
-36974908#0,0.0012830420
36974908#1,0.0021505533
106652012#1,0.0181837180
36974908#0,0.0005370308
-36974908#1,0.0022866335
-4894997#1,0.0031687249
36974908#2,0.0014531422
4924948,0.0077444219
-36974908#2,0.0013753821
-37548821#0,0.0014531422
37548821#1,0.0027459042
37548821#0,0.0013753821
-37551339#0,0.0013753821
37551339#1,0.0013753821
-37551339#1,0.0014531422
37551339#0,0.0014531422
37551339#2,0.0027459042
-5236308#1,0.0013632321
5236308#2,0.0000121500
-37551440,0.0014531422
-5197062#0,0.0141936519
5197062#1,0.0110346470
37551440,0.0013753821
-5197061#0,0.0076472218
37551447,0.0004446907
5197061#1,0.0059267791
-782714971#2,0.0116713080
37627664#0,0.0656441211
782714971#3,0.0692648267
-37627664#1,0.0075305816
219796113#3,0.0254883093
37627664#2,0.0000000000
-37627664#3,0.0013559421
219796099,0.0018395128
37627664#4,0.0000437401
-37627664#4,0.0021481233
37627664#5,0.0101768557
5197053#0,0.0073969314
-37627664#5,0.0084078129
219796130#0,0.0000000000
37627664#6,0.0092145742
-37627664#6,0.0075232916
-5055277#2,0.0038394059
219796123#0,0.0015017423
5055277#4,0.0092656043
-880137010,0.0135108208
37628709#0,0.0143370221
-37650111#0,0.0000437401
37650111#1,0.0013705221
794283075,0.0000145800
-37650111#1,0.0014701523
-5197045#0,0.0040678263
5197045#1,0.0014385622
-37651116#2,0.0060847294
106652030#1,0.0023303736
37651116#3,0.0080068623
-40009020#0,0.0341366926
40009020#2,0.0167305758
410941453,0.0014555722
4894991#0,0.0059535092
-627579930#1,0.0317285589
40009020#0,0.0229465253
4877791,0.0037908058
-40009020#4,0.0247228581
40009020#5,0.0286497441
41766849#0,0.0110881071
-40009020#5,0.0343092228
40009020#6,0.0301296164
834922892#0,0.0029014245
-40009021#0,0.0100504955
40009021#1,0.0077954520
-498033359#4,0.0112800774
40009021#0,0.0091076540
-40009021#1,0.0088160536
40009021#2,0.0116372879
5197064#0,0.0097078650
-40033611,0.0000024300
771876919,0.0027507642
771876920,0.0000048600
40033611,0.0013802421
-410942713,0.0013753821
-410942714#1,0.0014531422
-7924760#1,0.0028844144
410942713,0.0014531422
7924760#2,0.0040095062
-410942714#0,0.0000000000
410942714#1,0.0013753821
-7924760#0,0.0036231356
410942714#0,0.0000000000
7924760#1,0.0045270970
-410947640#0,0.0142762720
-712622897#2,0.0000000000
712622899#0,0.0087966135
-876343452#7,0.0149639630
410947640#0,0.0095644947
876057371,0.0000000000
-465885893#0,0.0540116932
465885893#2,0.0014531422
465885894,0.0014531422
465885895#0,0.0022987835
-4911109#1,0.0451543295
465885893#0,0.0057761189
4911109#2,0.0099314253
-465885893#2,0.0013753821
-465885894,0.0013753821
-465885895#0,0.0507676382
465885895#1,0.0014531422
-465885895#1,0.0013753821
-465886918#0,0.0058635990
465886916#1,0.0110735271
465886918#1,0.0116154179
-4877785,0.0004398307
-4877788#1,0.0192407696
4877788#2,0.0330043108
-4877786#0,0.0128109797
4877786#1,0.0069619607
-4877786#1,0.0132338004
4877786#2,0.0118000982
-4877786#2,0.0073264613
4877786#3,0.0116664480
62229567,0.0014555722
-4877786#3,0.0087261434
4877786#4,0.0128765898
-4877788#0,0.0218092836
4877788#1,0.0328415006
4924947#0,0.0093117743
-4877788#5,0.0371644772
4877788#6,0.0278794329
6263818#0,0.0001968303
-4877791,0.0004957208
216943296#0,0.0032173250
-4894992#0,0.0115255077
-4970256#7,0.0157099742
4894992#1,0.0114696177
4970256#8,0.0109811869
-4894992#1,0.0084394030
-813586707#1,0.0016475425
4894992#2,0.0156370741
-4894992#2,0.0103348059
-813586709,0.0000000000
4894992#3,0.0162154150
-4894996#1,0.0045708370
-627579930#0,0.0087796035
4894996#2,0.0318816491
627579930#1,0.0239112368
-4894997#0,0.0039390361
106652012#0,0.0175154670
4894997#1,0.0112047473
-4895001#0,0.0498102167
5057604,0.0061892195
535519490#0,0.0466439218
828203038#1,0.0466439218
880140407,0.0290166747
-4935286#3,0.0478030336
-5026771,0.0014531422
131942152,0.0521697503
828203038#0,0.0521697503
-4911107#0,0.0083519229
4911107#1,0.0129713600
-4911107#1,0.0071223410
106652027,0.0014555722
4911107#2,0.0102740558
