instance_id,arm,seed,att_multi,att_default,n_pen
J_k9_6od_x1.0,none,9,358.0032,364.726,0.0
A_k4_3od_x1.0,heuristic,0,226.9232,223.893,0.0
A_k4_3od_x1.0,heuristic,1,240.1832,229.631,0.0
A_k4_3od_x1.0,heuristic,2,254.44639999999998,230.533,0.0
A_k4_3od_x1.0,heuristic,3,247.39719999999997,230.708,0.0
A_k4_3od_x1.0,heuristic,4,239.1076,237.938,0.0
A_k4_3od_x1.0,heuristic,5,247.56440000000003,233.371,0.0
A_k4_3od_x1.0,heuristic,6,246.3792,239.472,0.0
A_k4_3od_x1.0,heuristic,7,247.56440000000003,233.371,0.0
A_k4_3od_x1.0,heuristic,8,251.9634,242.44,0.0
A_k4_3od_x1.0,heuristic,9,240.1832,229.631,0.0
A_k4_3od_x1.0,sa,0,226.9232,223.893,0.0
A_k4_3od_x1.0,sa,1,238.34679999999997,229.978,0.0
A_k4_3od_x1.0,sa,2,252.0614,231.718,0.0
A_k4_3od_x1.0,sa,3,226.9232,223.893,0.0
A_k4_3od_x1.0,sa,4,226.9232,223.893,0.0
A_k4_3od_x1.0,sa,5,240.1832,229.631,0.0
A_k4_3od_x1.0,sa,6,226.9232,223.893,0.0
A_k4_3od_x1.0,sa,7,226.9232,223.893,0.0
A_k4_3od_x1.0,sa,8,226.9232,223.893,0.0
A_k4_3od_x1.0,sa,9,238.34679999999997,229.978,0.0
A_k4_3od_x1.0,surrogate_submitted,0,240.1832,229.631,0.0
A_k4_3od_x1.0,surrogate_submitted,1,240.1832,229.631,0.0
A_k4_3od_x1.0,surrogate_submitted,2,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_submitted,3,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_submitted,4,233.5024,231.377,0.0
A_k4_3od_x1.0,surrogate_submitted,5,240.1832,229.631,0.0
A_k4_3od_x1.0,surrogate_submitted,6,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_submitted,7,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_submitted,8,240.1832,229.631,0.0
A_k4_3od_x1.0,surrogate_submitted,9,233.5024,231.377,0.0
A_k4_3od_x1.0,surrogate_repaired,0,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_repaired,1,236.37759999999997,230.928,0.0
A_k4_3od_x1.0,surrogate_repaired,2,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_repaired,3,240.1832,229.631,0.0
A_k4_3od_x1.0,surrogate_repaired,4,240.1832,229.631,0.0
A_k4_3od_x1.0,surrogate_repaired,5,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_repaired,6,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_repaired,7,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_repaired,8,226.9232,223.893,0.0
A_k4_3od_x1.0,surrogate_repaired,9,226.9232,223.893,0.0
B_k9_3od_x1.0,heuristic,0,533.8504,479.655,0.0
B_k9_3od_x1.0,heuristic,1,509.7623,488.4535,0.0
B_k9_3od_x1.0,heuristic,2,527.1046,487.4305,0.0
B_k9_3od_x1.0,heuristic,3,526.7866,490.9035,0.0
B_k9_3od_x1.0,heuristic,4,522.1659,479.655,0.0
B_k9_3od_x1.0,heuristic,5,519.8733,482.4865,0.0
B_k9_3od_x1.0,heuristic,6,515.6261999999999,478.313,0.0
B_k9_3od_x1.0,heuristic,7,523.8702000000001,487.9965,0.0
B_k9_3od_x1.0,heuristic,8,530.216,482.783,0.0
B_k9_3od_x1.0,heuristic,9,514.5187,485.5385,0.0
B_k9_3od_x1.0,sa,0,495.0754,472.803,0.0
B_k9_3od_x1.0,sa,1,494.45079999999996,464.76,0.0
B_k9_3od_x1.0,sa,2,537.9407,473.359,0.0
B_k9_3od_x1.0,sa,3,515.5001,479.8495,0.0
B_k9_3od_x1.0,sa,4,519.473,490.292,0.0
B_k9_3od_x1.0,sa,5,514.5435,482.3115,0.0
B_k9_3od_x1.0,sa,6,495.4764,478.1415,0.0
B_k9_3od_x1.0,sa,7,515.2817,487.2085,0.0
B_k9_3od_x1.0,sa,8,525.2664,479.7095,0.0
B_k9_3od_x1.0,sa,9,501.6358,479.1745,0.0
B_k9_3od_x1.0,surrogate_submitted,0,510.9008,506.0535,0.0
B_k9_3od_x1.0,surrogate_submitted,1,533.1161,504.229,0.0
B_k9_3od_x1.0,surrogate_submitted,2,500.2249,490.6745,0.0
B_k9_3od_x1.0,surrogate_submitted,3,510.26840000000004,512.2135,0.0
B_k9_3od_x1.0,surrogate_submitted,4,526.638,497.2735,0.0
B_k9_3od_x1.0,surrogate_submitted,5,513.2622,503.5805,0.0
B_k9_3od_x1.0,surrogate_submitted,6,521.4557,509.072,0.0
B_k9_3od_x1.0,surrogate_submitted,7,498.746,500.2425,0.0
B_k9_3od_x1.0,surrogate_submitted,8,502.354,493.384,0.0
B_k9_3od_x1.0,surrogate_submitted,9,536.2327,506.1525,0.0
B_k9_3od_x1.0,surrogate_repaired,0,484.17629999999997,476.1895,0.0
B_k9_3od_x1.0,surrogate_repaired,1,485.7296,482.4245,0.0
B_k9_3od_x1.0,surrogate_repaired,2,506.037,481.6885,0.0
B_k9_3od_x1.0,surrogate_repaired,3,496.57370000000003,487.196,0.0
B_k9_3od_x1.0,surrogate_repaired,4,498.10119999999995,475.91,0.0
B_k9_3od_x1.0,surrogate_repaired,5,491.8845,470.8845,0.0
B_k9_3od_x1.0,surrogate_repaired,6,478.4515,464.226,0.0
B_k9_3od_x1.0,surrogate_repaired,7,485.57439999999997,478.819,0.0
B_k9_3od_x1.0,surrogate_repaired,8,486.62960000000004,481.9285,0.0
B_k9_3od_x1.0,surrogate_repaired,9,505.09619999999995,479.802,0.0
J_k9_6od_x1.0,heuristic,0,380.5022666666666,357.825333,0.0
J_k9_6od_x1.0,heuristic,1,355.1304,355.43,0.0
J_k9_6od_x1.0,heuristic,2,355.23040000000003,356.536667,0.0
J_k9_6od_x1.0,heuristic,3,369.5910666666667,354.137333,0.0
J_k9_6od_x1.0,heuristic,4,369.8912,357.474667,0.0
J_k9_6od_x1.0,heuristic,5,376.89160000000004,356.898667,0.0
J_k9_6od_x1.0,heuristic,6,365.784,348.275333,0.0
J_k9_6od_x1.0,heuristic,7,358.2048,352.995333,0.0
J_k9_6od_x1.0,heuristic,8,366.8578666666666,357.502,0.0
J_k9_6od_x1.0,heuristic,9,367.9389333333333,358.099333,0.0
J_k9_6od_x1.0,sa,0,500.73893333333336,491.244,0.0
J_k9_6od_x1.0,sa,1,444.45453333333336,400.082667,0.0
J_k9_6od_x1.0,sa,2,412.3613333333333,380.035333,0.0
J_k9_6od_x1.0,sa,3,342.1890666666667,338.067333,0.0
J_k9_6od_x1.0,sa,4,444.71746666666667,411.337333,0.0
J_k9_6od_x1.0,sa,5,380.40306666666663,372.522667,0.0
J_k9_6od_x1.0,sa,6,606.5496,536.726667,0.0
J_k9_6od_x1.0,sa,7,628.5037333333333,613.496667,0.0
J_k9_6od_x1.0,sa,8,635.048,586.503333,0.0
J_k9_6od_x1.0,sa,9,377.23266666666666,370.126667,0.0
J_k9_6od_x1.0,surrogate_submitted,0,602.5334666666666,605.251333,0.0
J_k9_6od_x1.0,surrogate_submitted,1,600.1930666666667,626.228667,0.0
J_k9_6od_x1.0,surrogate_submitted,2,620.9153333333334,643.504,0.0
J_k9_6od_x1.0,surrogate_submitted,3,600.1930666666667,626.228667,0.0
J_k9_6od_x1.0,surrogate_submitted,4,521.3473333333334,531.929333,0.0
J_k9_6od_x1.0,surrogate_submitted,5,602.5334666666666,605.251333,0.0
J_k9_6od_x1.0,surrogate_submitted,6,634.3229333333333,607.762,0.0
J_k9_6od_x1.0,surrogate_submitted,7,365.9216,359.099333,0.0
J_k9_6od_x1.0,surrogate_submitted,8,594.2873333333334,636.414,0.0
J_k9_6od_x1.0,surrogate_submitted,9,627.1448,604.136667,0.0
J_k9_6od_x1.0,surrogate_repaired,0,592.2646666666667,594.3046666666667,0.0
J_k9_6od_x1.0,surrogate_repaired,1,616.5525333333333,608.4013333333334,0.0
J_k9_6od_x1.0,surrogate_repaired,2,607.2565333333334,635.108,0.0
J_k9_6od_x1.0,surrogate_repaired,3,613.7896,601.6666666666666,0.0
J_k9_6od_x1.0,surrogate_repaired,4,610.2477333333334,629.7613333333334,0.0
J_k9_6od_x1.0,surrogate_repaired,5,631.4177333333333,602.0886666666667,0.0
J_k9_6od_x1.0,surrogate_repaired,6,624.3084,627.456,0.0
J_k9_6od_x1.0,surrogate_repaired,7,602.5334666666666,605.2513333333334,0.0
J_k9_6od_x1.0,surrogate_repaired,8,521.3473333333334,531.9293333333334,0.0
J_k9_6od_x1.0,surrogate_repaired,9,460.82199999999995,427.40066666666667,0.0
