mode,seed,att_multi,att_default,n_ok,instance_id
mutation,8,496.06579999999997,479.5045,5,B_k9_3od_x1.0
mutation,9,504.77830000000006,476.935,5,B_k9_3od_x1.0
none,0,504.1130999999999,479.6265,5,B_k9_3od_x1.0
none,1,526.7121,485.762,5,B_k9_3od_x1.0
none,2,498.3128,473.191,5,B_k9_3od_x1.0
none,3,518.4783,486.0495,5,B_k9_3od_x1.0
none,4,519.6835,478.671,5,B_k9_3od_x1.0
none,5,510.4465,479.993,5,B_k9_3od_x1.0
none,6,507.1137,477.06,5,B_k9_3od_x1.0
none,7,500.64619999999996,478.887,5,B_k9_3od_x1.0
none,8,504.76720000000006,484.849,5,B_k9_3od_x1.0
none,9,507.12489999999997,483.569,5,B_k9_3od_x1.0
both,0,354.7349333333333,373.832,5,J_k9_6od_x1.0
both,1,354.7349333333333,373.832,5,J_k9_6od_x1.0
both,2,384.5953333333333,366.2073333333333,5,J_k9_6od_x1.0
both,3,340.11400000000003,338.6173333333333,5,J_k9_6od_x1.0
both,4,331.1134666666667,324.6326666666667,5,J_k9_6od_x1.0
both,5,368.14773333333335,362.95866666666666,5,J_k9_6od_x1.0
both,6,354.7349333333333,373.832,5,J_k9_6od_x1.0
both,7,354.7349333333333,373.832,5,J_k9_6od_x1.0
both,8,376.69826666666665,359.05733333333336,5,J_k9_6od_x1.0
both,9,384.5953333333333,366.2073333333333,5,J_k9_6od_x1.0
init,0,368.14773333333335,362.95866666666666,5,J_k9_6od_x1.0
init,1,369.3378666666666,354.518,5,J_k9_6od_x1.0
init,2,354.7349333333333,373.832,5,J_k9_6od_x1.0
init,3,354.7349333333333,373.832,5,J_k9_6od_x1.0
init,4,374.41493333333335,368.0386666666666,5,J_k9_6od_x1.0
init,5,347.31239999999997,339.0613333333333,5,J_k9_6od_x1.0
init,6,331.1134666666667,324.6326666666667,5,J_k9_6od_x1.0
init,7,346.9932,342.53333333333336,5,J_k9_6od_x1.0
init,8,362.77293333333336,382.194,5,J_k9_6od_x1.0
init,9,346.9932,342.53333333333336,5,J_k9_6od_x1.0
mutation,0,393.23879999999997,374.48,5,J_k9_6od_x1.0
mutation,1,393.23879999999997,374.48,5,J_k9_6od_x1.0
mutation,2,370.25146666666666,372.484,5,J_k9_6od_x1.0
mutation,3,354.6974666666666,361.248,5,J_k9_6od_x1.0
mutation,4,354.7349333333333,373.832,5,J_k9_6od_x1.0
mutation,5,354.7349333333333,373.832,5,J_k9_6od_x1.0
mutation,6,354.7349333333333,373.832,5,J_k9_6od_x1.0
mutation,7,412.3613333333333,380.0353333333333,5,J_k9_6od_x1.0
mutation,8,354.7349333333333,373.832,5,J_k9_6od_x1.0
mutation,9,376.69826666666665,359.05733333333336,5,J_k9_6od_x1.0
none,0,353.9762666666667,373.832,5,J_k9_6od_x1.0
none,1,340.11400000000003,338.6173333333333,5,J_k9_6od_x1.0
none,2,354.7349333333333,373.832,5,J_k9_6od_x1.0
none,3,412.3613333333333,380.0353333333333,5,J_k9_6od_x1.0
none,4,367.0656,363.39,5,J_k9_6od_x1.0
none,5,354.7349333333333,373.832,5,J_k9_6od_x1.0
none,6,376.89160000000004,356.89866666666666,5,J_k9_6od_x1.0
none,7,350.3186666666667,347.8346666666667,2,J_k9_6od_x1.0
none,8,368.14773333333335,362.95866666666666,5,J_k9_6od_x1.0
none,9,358.0032,364.726,5,J_k9_6od_x1.0
