instance_id,arm,seed,sol_id,att_default,k,source,closed
B_k9_3od_x1.0,surrogate_submitted,7,S027,500.2425,9,surrogate_seed7,-E26 -E53 E13 E16 E24 E28 E33 E40 E57
B_k9_3od_x1.0,surrogate_submitted,8,S028,493.384,9,surrogate_seed8,-E29 -E6 E13 E28 E31 E33 E40 E49 E63
B_k9_3od_x1.0,surrogate_submitted,9,S029,506.1525,9,surrogate_seed9,-E14 -E15 -E19 -E25 -E50 E11 E16 E52 E7
B_k9_3od_x1.0,surrogate_repaired,0,S030,476.1895,9,arm_B_sum_run/s0_r07,-E13 -E44 -E47 -E58 E23 E31 E40 E7 E9
B_k9_3od_x1.0,surrogate_repaired,1,S031,482.4245,9,arm_B_sum_run/s1_r02,-E32 -E40 -E45 -E58 -E63 -E9 E40 E7 E9
B_k9_3od_x1.0,surrogate_repaired,2,S032,481.6885,9,arm_B_sum_run/s2_r06,-E30 -E44 -E52 -E58 E40 E51 E57 E64 E7
B_k9_3od_x1.0,surrogate_repaired,3,S033,487.196,9,arm_B_sum_run/s3_r05,-E15 -E45 -E52 -E58 -E6 E29 E40 E47 E7
B_k9_3od_x1.0,surrogate_repaired,4,S034,475.91,9,arm_B_sum_run/s4_r08,-E11 -E29 -E40 -E58 -E64 E31 E40 E46 E7
B_k9_3od_x1.0,surrogate_repaired,5,S035,470.8845,9,arm_B_sum_run/s5_r01,-E53 -E58 -E7 E14 E28 E40 E52 E7 E9
B_k9_3od_x1.0,surrogate_repaired,6,S036,464.226,9,arm_B_sum_run/s6_r01,-E14 -E29 -E35 -E58 E40 E57 E62 E7 E9
B_k9_3od_x1.0,surrogate_repaired,7,S037,478.819,9,arm_B_sum_run/s7_r07,-E11 -E45 -E58 E31 E40 E64 E7 E8 E9
B_k9_3od_x1.0,surrogate_repaired,8,S038,481.9285,9,arm_B_sum_run/s8_r06,-E43 -E58 -E8 E25 E40 E51 E57 E7 E9
B_k9_3od_x1.0,surrogate_repaired,9,S039,479.802,9,arm_B_sum_run/s9_r07,-E16 -E44 -E58 E11 E17 E25 E40 E57 E7
B_k9_3od_x1.0,no_closure,0,S040,,0,empty set,
J_k9_6od_x1.0,heuristic,0,S000,357.825333,9,heuristic_seed0,-111681903#0 -24337240#0 -311298662#1 -465885893#0 -834922892#2 111677668#3 4877788#4 4935286#2 4935286#3
