instance_id,sol_id,sumo_seed,att
J_k9_6od_x1.0,S007,201,352.47133333333335
J_k9_6od_x1.0,S007,202,355.8426666666667
J_k9_6od_x1.0,S006,205,356.02866666666665
J_k9_6od_x1.0,S007,203,368.7873333333333
J_k9_6od_x1.0,S007,205,357.54133333333334
J_k9_6od_x1.0,S007,204,356.3813333333333
J_k9_6od_x1.0,S008,202,346.958
J_k9_6od_x1.0,S008,201,382.58933333333334
J_k9_6od_x1.0,S008,204,360.808
J_k9_6od_x1.0,S008,205,355.05533333333335
J_k9_6od_x1.0,S008,203,388.8786666666667
J_k9_6od_x1.0,S009,201,367.80466666666666
J_k9_6od_x1.0,S009,203,363.6553333333333
J_k9_6od_x1.0,S009,202,366.29133333333334
J_k9_6od_x1.0,S009,204,372.63
J_k9_6od_x1.0,S009,205,369.31333333333333
J_k9_6od_x1.0,S011,201,463.8593333333333
J_k9_6od_x1.0,S010,201,514.844
J_k9_6od_x1.0,S010,202,522.246
J_k9_6od_x1.0,S010,203,514.6106666666667
J_k9_6od_x1.0,S010,204,484.52666666666664
J_k9_6od_x1.0,S010,205,467.46733333333333
J_k9_6od_x1.0,S011,202,377.782
J_k9_6od_x1.0,S011,203,471.3786666666667
J_k9_6od_x1.0,S011,205,410.776
J_k9_6od_x1.0,S012,201,389.1566666666667
J_k9_6od_x1.0,S012,202,389.31533333333334
J_k9_6od_x1.0,S012,204,377.832
J_k9_6od_x1.0,S011,204,498.4766666666667
J_k9_6od_x1.0,S012,203,477.58666666666664
J_k9_6od_x1.0,S012,205,427.916
J_k9_6od_x1.0,S013,201,340.89733333333334
J_k9_6od_x1.0,S013,202,340.596
J_k9_6od_x1.0,S013,203,343.7366666666667
J_k9_6od_x1.0,S013,204,343.4513333333333
J_k9_6od_x1.0,S013,205,342.264
J_k9_6od_x1.0,S014,201,432.812
J_k9_6od_x1.0,S014,202,466.58733333333333
J_k9_6od_x1.0,S014,204,422.3566666666667
J_k9_6od_x1.0,S014,203,454.36
J_k9_6od_x1.0,S015,201,391.402
J_k9_6od_x1.0,S015,202,378.11066666666665
J_k9_6od_x1.0,S015,203,386.67533333333336
J_k9_6od_x1.0,S014,205,447.47133333333335
J_k9_6od_x1.0,S015,204,369.674
J_k9_6od_x1.0,S015,205,376.1533333333333
J_k9_6od_x1.0,S016,201,590.6586666666667
J_k9_6od_x1.0,S016,202,602.7866666666666
J_k9_6od_x1.0,S016,203,592.9346666666667
J_k9_6od_x1.0,S016,204,608.3893333333333
J_k9_6od_x1.0,S017,201,611.6413333333334
J_k9_6od_x1.0,S016,205,637.9786666666666
J_k9_6od_x1.0,S017,202,617.8486666666666
J_k9_6od_x1.0,S017,203,646.2253333333333
J_k9_6od_x1.0,S017,204,637.89
J_k9_6od_x1.0,S017,205,628.9133333333333
J_k9_6od_x1.0,S018,201,616.5593333333334
J_k9_6od_x1.0,S019,201,374.73266666666666
J_k9_6od_x1.0,S018,202,634.232
J_k9_6od_x1.0,S018,203,623.5053333333333
J_k9_6od_x1.0,S018,204,654.846
J_k9_6od_x1.0,S018,205,646.0973333333334
J_k9_6od_x1.0,S019,203,378.62266666666665
J_k9_6od_x1.0,S019,202,386.8713333333333
J_k9_6od_x1.0,S019,204,373.79333333333335
J_k9_6od_x1.0,S019,205,372.1433333333333
J_k9_6od_x1.0,S020,202,560.9273333333333
J_k9_6od_x1.0,S020,201,608.3733333333333
J_k9_6od_x1.0,S020,203,613.7026666666667
J_k9_6od_x1.0,S020,204,615.43
J_k9_6od_x1.0,S021,201,592.046
J_k9_6od_x1.0,S020,205,614.234
J_k9_6od_x1.0,S021,202,584.3506666666667
J_k9_6od_x1.0,S021,203,611.466
J_k9_6od_x1.0,S021,204,604.18
J_k9_6od_x1.0,S021,205,608.9226666666667
J_k9_6od_x1.0,S022,201,591.0053333333333
J_k9_6od_x1.0,S022,202,638.9193333333334
J_k9_6od_x1.0,S022,203,617.692
J_k9_6od_x1.0,S022,204,642.622
J_k9_6od_x1.0,S022,205,614.338
J_k9_6od_x1.0,S023,201,592.046
J_k9_6od_x1.0,S023,202,584.3506666666667
J_k9_6od_x1.0,S023,203,611.466
J_k9_6od_x1.0,S023,204,604.18
J_k9_6od_x1.0,S024,202,499.5
