instance,arm,run_seed,sol_id,att_default,sumo_seed,att
J_k9_6od_x1.0,mutation,6,S026,373.832,107,352.1673333333333
J_k9_6od_x1.0,mutation,6,S026,373.832,108,346.8793333333333
J_k9_6od_x1.0,mutation,6,S026,373.832,109,349.35133333333334
J_k9_6od_x1.0,mutation,6,S026,373.832,110,394.158
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,101,375.75666666666666
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,102,587.652
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,103,383.18666666666667
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,104,393.42133333333334
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,105,379.796
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,106,383.3586666666667
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,107,587.532
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,108,428.5953333333333
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,109,593.808
J_k9_6od_x1.0,mutation,7,S027,380.0353333333333,110,382.70466666666664
J_k9_6od_x1.0,mutation,8,S028,373.832,101,346.114
J_k9_6od_x1.0,mutation,8,S028,373.832,102,352.9193333333333
J_k9_6od_x1.0,mutation,8,S028,373.832,103,342.314
J_k9_6od_x1.0,mutation,8,S028,373.832,104,349.428
J_k9_6od_x1.0,mutation,8,S028,373.832,105,366.3786666666667
J_k9_6od_x1.0,mutation,8,S028,373.832,106,351.08866666666665
J_k9_6od_x1.0,mutation,8,S028,373.832,107,352.1673333333333
J_k9_6od_x1.0,mutation,8,S028,373.832,108,346.8793333333333
J_k9_6od_x1.0,mutation,8,S028,373.832,109,349.35133333333334
J_k9_6od_x1.0,mutation,8,S028,373.832,110,394.158
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,101,356.4753333333333
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,102,358.85133333333334
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,103,359.73133333333334
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,104,414.466
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,105,365.1166666666667
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,106,359.6173333333333
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,107,367.46
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,108,359.87266666666665
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,109,366.79266666666666
J_k9_6od_x1.0,mutation,9,S029,359.05733333333336,110,380.4773333333333
J_k9_6od_x1.0,none,0,S030,373.832,101,346.114
J_k9_6od_x1.0,none,0,S030,373.832,102,352.9193333333333
J_k9_6od_x1.0,none,0,S030,373.832,103,342.314
J_k9_6od_x1.0,none,0,S030,373.832,104,349.428
J_k9_6od_x1.0,none,0,S030,373.832,105,366.3786666666667
J_k9_6od_x1.0,none,0,S030,373.832,106,351.08866666666665
J_k9_6od_x1.0,none,0,S030,373.832,107,352.1673333333333
J_k9_6od_x1.0,none,0,S030,373.832,108,346.8793333333333
J_k9_6od_x1.0,none,0,S030,373.832,109,349.35133333333334
J_k9_6od_x1.0,none,0,S030,373.832,110,383.304
J_k9_6od_x1.0,none,1,S031,338.6173333333333,101,337.26666666666665
J_k9_6od_x1.0,none,1,S031,338.6173333333333,102,341.6766666666667
J_k9_6od_x1.0,none,1,S031,338.6173333333333,103,338.718
J_k9_6od_x1.0,none,1,S031,338.6173333333333,104,345.9513333333333
J_k9_6od_x1.0,none,1,S031,338.6173333333333,105,338.504
J_k9_6od_x1.0,none,1,S031,338.6173333333333,106,341.04066666666665
J_k9_6od_x1.0,none,1,S031,338.6173333333333,107,344.2393333333333
J_k9_6od_x1.0,none,1,S031,338.6173333333333,108,342.99133333333333
J_k9_6od_x1.0,none,1,S031,338.6173333333333,109,340.66
J_k9_6od_x1.0,none,1,S031,338.6173333333333,110,339.3426666666667
J_k9_6od_x1.0,none,2,S032,373.832,101,346.114
J_k9_6od_x1.0,none,2,S032,373.832,102,352.9193333333333
J_k9_6od_x1.0,none,2,S032,373.832,103,342.314
J_k9_6od_x1.0,none,2,S032,373.832,104,349.428
J_k9_6od_x1.0,none,2,S032,373.832,105,366.3786666666667
J_k9_6od_x1.0,none,2,S032,373.832,106,351.08866666666665
J_k9_6od_x1.0,none,2,S032,373.832,107,352.1673333333333
J_k9_6od_x1.0,none,2,S032,373.832,108,346.8793333333333
J_k9_6od_x1.0,none,2,S032,373.832,109,349.35133333333334
J_k9_6od_x1.0,none,2,S032,373.832,110,394.158
J_k9_6od_x1.0,none,3,S033,380.0353333333333,101,375.75666666666666
J_k9_6od_x1.0,none,3,S033,380.0353333333333,102,587.652
J_k9_6od_x1.0,none,3,S033,380.0353333333333,103,383.18666666666667
J_k9_6od_x1.0,none,3,S033,380.0353333333333,104,393.42133333333334
J_k9_6od_x1.0,none,3,S033,380.0353333333333,105,379.796
J_k9_6od_x1.0,none,3,S033,380.0353333333333,106,383.3586666666667
J_k9_6od_x1.0,none,3,S033,380.0353333333333,107,587.532
