instance_id,mode,seed,sol_id,att_default,sumo_seed,att
A_k4_1od_x0.8,init,5,S0007,222.22875,201,219.42125
A_k4_1od_x0.8,init,5,S0007,222.22875,202,221.42125
A_k4_1od_x0.8,init,5,S0007,222.22875,203,232.5225
A_k4_1od_x0.8,init,5,S0007,222.22875,204,223.48125
A_k4_1od_x0.8,init,5,S0007,222.22875,205,237.6375
A_k4_1od_x0.8,init,6,S0024,225.78875,201,225.02
A_k4_1od_x0.8,init,6,S0024,225.78875,202,211.15
A_k4_1od_x0.8,init,6,S0024,225.78875,203,227.29375
A_k4_1od_x0.8,init,6,S0024,225.78875,204,218.64875
A_k4_1od_x0.8,init,6,S0024,225.78875,205,225.215
A_k4_1od_x0.8,init,7,S0024,225.78875,201,225.02
A_k4_1od_x0.8,init,7,S0024,225.78875,202,211.15
A_k4_1od_x0.8,init,7,S0024,225.78875,203,227.29375
A_k4_1od_x0.8,init,7,S0024,225.78875,204,218.64875
A_k4_1od_x0.8,init,7,S0024,225.78875,205,225.215
A_k4_1od_x0.8,init,8,S0023,223.43625,201,221.035
A_k4_1od_x0.8,init,8,S0023,223.43625,202,223.70625
A_k4_1od_x0.8,init,8,S0023,223.43625,203,219.25125
A_k4_1od_x0.8,init,8,S0023,223.43625,204,230.9675
A_k4_1od_x0.8,init,8,S0023,223.43625,205,223.18625
A_k4_1od_x0.8,init,9,S0007,222.22875,201,219.42125
A_k4_1od_x0.8,init,9,S0007,222.22875,202,221.42125
A_k4_1od_x0.8,init,9,S0007,222.22875,203,232.5225
A_k4_1od_x0.8,init,9,S0007,222.22875,204,223.48125
A_k4_1od_x0.8,init,9,S0007,222.22875,205,237.6375
A_k4_1od_x0.8,mutation,0,S0028,220.10375,201,224.62625
A_k4_1od_x0.8,mutation,0,S0028,220.10375,202,225.36375
A_k4_1od_x0.8,mutation,0,S0028,220.10375,203,217.26875
A_k4_1od_x0.8,mutation,0,S0028,220.10375,204,213.2025
A_k4_1od_x0.8,mutation,0,S0028,220.10375,205,217.68875
A_k4_1od_x0.8,mutation,1,S0009,215.53,201,224.05125
A_k4_1od_x0.8,mutation,1,S0009,215.53,202,222.7575
A_k4_1od_x0.8,mutation,1,S0009,215.53,203,217.8175
A_k4_1od_x0.8,mutation,1,S0009,215.53,204,223.55125
A_k4_1od_x0.8,mutation,1,S0009,215.53,205,214.79625
A_k4_1od_x0.8,mutation,2,S0025,227.12875,201,228.4475
A_k4_1od_x0.8,mutation,2,S0025,227.12875,202,228.91875
A_k4_1od_x0.8,mutation,2,S0025,227.12875,203,232.38625
A_k4_1od_x0.8,mutation,2,S0025,227.12875,204,228.82125
A_k4_1od_x0.8,mutation,2,S0025,227.12875,205,230.0125
A_k4_1od_x0.8,mutation,3,S0018,221.33875,201,234.48375
A_k4_1od_x0.8,mutation,3,S0018,221.33875,202,216.38
A_k4_1od_x0.8,mutation,3,S0018,221.33875,203,219.98625
A_k4_1od_x0.8,mutation,3,S0018,221.33875,204,224.99
A_k4_1od_x0.8,mutation,3,S0018,221.33875,205,225.28375
A_k4_1od_x0.8,mutation,4,S0001,220.695,201,230.02125
A_k4_1od_x0.8,mutation,4,S0001,220.695,202,225.23375
A_k4_1od_x0.8,mutation,4,S0001,220.695,203,225.2025
A_k4_1od_x0.8,mutation,4,S0001,220.695,204,225.7575
A_k4_1od_x0.8,mutation,4,S0001,220.695,205,226.42125
A_k4_1od_x0.8,mutation,5,S0026,225.94625,201,220.05875
A_k4_1od_x0.8,mutation,5,S0026,225.94625,202,211.3
A_k4_1od_x0.8,mutation,5,S0026,225.94625,203,224.2375
A_k4_1od_x0.8,mutation,5,S0026,225.94625,204,208.35625
A_k4_1od_x0.8,mutation,5,S0026,225.94625,205,222.8075
A_k4_1od_x0.8,mutation,6,S0014,224.84625,201,218.51125
A_k4_1od_x0.8,mutation,6,S0014,224.84625,202,223.49375
A_k4_1od_x0.8,mutation,6,S0014,224.84625,203,227.94125
A_k4_1od_x0.8,mutation,6,S0014,224.84625,204,223.15
A_k4_1od_x0.8,mutation,6,S0014,224.84625,205,228.37125
A_k4_1od_x0.8,mutation,7,S0020,218.56375,201,222.03375
A_k4_1od_x0.8,mutation,7,S0020,218.56375,202,220.8975
A_k4_1od_x0.8,mutation,7,S0020,218.56375,203,229.1775
A_k4_1od_x0.8,mutation,7,S0020,218.56375,204,228.2325
A_k4_1od_x0.8,mutation,7,S0020,218.56375,205,231.01625
A_k4_1od_x0.8,mutation,8,S0007,222.22875,201,219.42125
A_k4_1od_x0.8,mutation,8,S0007,222.22875,202,221.42125
A_k4_1od_x0.8,mutation,8,S0007,222.22875,203,232.5225
A_k4_1od_x0.8,mutation,8,S0007,222.22875,204,223.48125
A_k4_1od_x0.8,mutation,8,S0007,222.22875,205,237.6375
A_k4_1od_x0.8,mutation,9,S0021,223.90875,201,242.40375
A_k4_1od_x0.8,mutation,9,S0021,223.90875,202,216.93625
A_k4_1od_x0.8,mutation,9,S0021,223.90875,203,234.0675
A_k4_1od_x0.8,mutation,9,S0021,223.90875,204,229.7125
A_k4_1od_x0.8,mutation,9,S0021,223.90875,205,233.6175
A_k4_1od_x0.8,none,0,S0009,215.53,201,224.05125
A_k4_1od_x0.8,none,0,S0009,215.53,202,222.7575
A_k4_1od_x0.8,none,0,S0009,215.53,203,217.8175
